datetime,speed
2019-12-01 11:01:13,15.34
2019-12-01 11:01:43,10.52
2019-12-01 11:15:46,11.58
2019-12-01 11:16:45,6.1
2019-12-01 11:17:18,6.16
2019-12-01 11:20:05,13.99
2019-12-01 11:20:35,5.33
2019-12-01 11:21:07,10.71
2019-12-01 11:37:03,14.0389
2019-12-01 11:38:04,13.4989
2019-12-01 11:38:33,8.09935
2019-12-01 11:39:03,8.09935
2019-12-01 11:40:08,10.7991
2019-12-01 11:46:57,10.81
2019-12-01 11:47:27,1.3
2019-12-01 11:48:26,9.19
2019-12-01 12:29:00,21.08
2019-12-01 12:29:19,9.7
2019-12-01 12:29:30,13.79
2019-12-01 12:29:49,10.71
2019-12-01 12:30:00,9.31
2019-12-01 12:30:54,7.17
2019-12-01 12:51:40,13.98
2019-12-01 13:51:09,20.66
2019-12-01 14:24:52,16.11
2019-12-01 15:42:32,17.63
2019-12-02 11:50:58,12.04
2019-12-02 11:51:27,3.3
2019-12-02 11:52:27,6.56
2019-12-02 11:52:57,15.52
2019-12-02 11:54:56,7.96
2019-12-02 11:55:26,2.02
2019-12-02 11:55:55,1.3
2019-12-02 11:56:25,1.09
2019-12-02 11:58:41,4.15
2019-12-02 11:59:11,2.44
2019-12-02 12:00:11,4.07
2019-12-02 12:01:40,9.35
2019-12-02 12:06:34,3.86
2019-12-02 12:07:04,13.63
2019-12-02 12:07:33,3.91
2019-12-02 12:08:33,4.27
2019-12-02 12:15:30,2.25
2019-12-02 12:15:59,1.96
2019-12-02 12:17:59,13.5
2019-12-02 12:19:14,5.13
2019-12-02 12:19:30,1.71
2019-12-02 12:19:44,12.07
2019-12-02 12:20:58,2.37
2019-12-02 12:21:13,5.81
2019-12-02 12:37:08,13.68
2019-12-02 12:38:41,13.7
2019-12-02 12:39:10,3.13
2019-12-02 12:40:01,5.43
2019-12-02 12:40:09,3.07
2019-12-02 12:40:31,6.79
2019-12-02 12:40:39,4.17
2019-12-02 12:41:01,8.19
2019-12-02 12:41:30,6.4
2019-12-02 12:42:35,9.56
2019-12-02 12:43:00,7.94
2019-12-02 12:43:30,8.78
2019-12-02 12:47:52,7.27
2019-12-02 12:49:21,11.89
2019-12-02 12:51:09,13.75
2019-12-02 12:52:20,9.45
2019-12-02 13:06:11,11.6
2019-12-02 13:06:41,2.24
2019-12-02 13:07:11,6.74
2019-12-02 13:07:54,12.59
2019-12-02 13:08:23,4.34
2019-12-02 13:11:10,5.09
2019-12-02 13:13:09,14.17
2019-12-02 13:13:39,21.04
2019-12-02 13:14:53,10.2
2019-12-02 13:15:53,3.21
2019-12-02 13:16:23,9.29
2019-12-02 13:19:09,12.64
2019-12-02 13:19:39,16.44
2019-12-02 13:20:09,5.0
