datetime,speed
2019-12-01 16:14:19,16.09
2019-12-01 16:20:19,22.17
2019-12-01 17:45:42,20.77
2019-12-02 16:30:25,27.86
2019-12-02 17:26:27,21.77
2019-12-02 17:59:53,28.81
2019-12-03 16:05:47,21.27
2019-12-03 16:06:17,19.54
2019-12-03 16:06:50,20.31
2019-12-03 16:37:59,18.46
2019-12-03 16:56:30,20.03
2019-12-03 17:20:55,21.49
2019-12-03 17:20:55,25.65
2019-12-03 17:21:15,23.29
2019-12-03 17:21:25,20.95
2019-12-03 17:21:48,31.24
2019-12-03 17:21:54,21.69
2019-12-03 17:53:22,32.05
2019-12-04 17:23:01,27.62
2019-12-04 17:23:54,25.91
2019-12-04 17:24:01,19.85
2019-12-05 16:00:35,25.36
2019-12-05 16:01:05,26.03
2019-12-05 16:01:35,19.06
2019-12-05 16:15:33,14.96
2019-12-05 16:22:35,22.75
2019-12-05 17:17:07,27.89
2019-12-05 17:20:26,21.12
2019-12-05 17:20:56,18.11
2019-12-05 17:21:26,26.89
2019-12-05 17:48:24,21.11
2019-12-06 17:25:00,12.53
2019-12-06 17:25:27,26.93
2019-12-06 17:25:57,21.82
2019-12-06 17:44:25,24.81
2019-12-06 17:44:49,26.86
2019-12-06 17:45:18,20.29
2019-12-07 16:31:11,23.37
2019-12-07 16:46:25,23.95
2019-12-07 17:01:58,26.34
2019-12-08 16:34:36,27.39
2019-12-08 16:35:06,26.43
2019-12-08 16:35:37,19.34
2019-12-08 17:06:53,23.08
2019-12-09 16:20:01,24.16
2019-12-09 16:28:04,22.31
2019-12-09 16:52:04,23.94
2019-12-09 17:17:39,25.83
2019-12-10 16:03:57,27.95
2019-12-10 16:04:27,20.03
2019-12-10 16:04:56,26.98
2019-12-10 17:14:24,29.81
2019-12-10 17:15:14,15.26
2019-12-10 17:15:23,15.93
2019-12-10 17:15:53,12.43
2019-12-11 16:11:01,4.79
2019-12-11 16:15:29,22.71
2019-12-11 16:15:30,21.04
2019-12-11 16:16:01,22.18
