datetime,speed
2019-12-01 06:04:57,7.6
2019-12-01 06:05:26,13.55
2019-12-01 06:09:53,18.58
2019-12-01 06:10:27,11.8791
2019-12-01 06:10:57,5.39957
2019-12-01 06:11:32,7.78
2019-12-01 06:11:33,5.39957
2019-12-01 06:11:58,3.23974
2019-12-01 06:11:58,9.62
2019-12-01 06:12:27,10.7991
2019-12-01 06:13:27,9.71923
2019-12-01 06:13:57,7.59
2019-12-01 06:13:57,13.4989
2019-12-01 06:14:32,13.93
2019-12-01 06:14:57,11.84
2019-12-01 06:15:26,3.0
2019-12-01 06:15:56,12.19
2019-12-01 06:16:26,1.67
2019-12-01 06:25:05,8.36
2019-12-01 06:35:46,9.89
2019-12-01 06:36:15,2.54
2019-12-01 06:36:45,4.52
2019-12-01 06:41:32,9.35
2019-12-01 06:42:25,14.62
2019-12-01 06:42:31,12.0
2019-12-01 06:42:53,12.51
2019-12-01 06:43:21,2.07
2019-12-01 06:43:51,13.04
2019-12-01 06:44:51,6.79
2019-12-01 06:45:51,7.93
2019-12-01 06:46:20,7.99
2019-12-01 06:47:20,5.46
2019-12-01 06:49:31,12.27
2019-12-01 06:50:32,9.01
2019-12-01 06:52:21,5.89
2019-12-01 06:52:51,11.65
2019-12-01 06:53:21,6.27
2019-12-01 07:20:12,4.93
2019-12-01 07:20:42,13.54
2019-12-01 07:20:44,16.11
2019-12-01 07:21:12,8.17
2019-12-01 07:21:17,7.4
2019-12-01 07:22:14,19.04
2019-12-01 07:22:44,20.8
2019-12-01 07:41:52,7.09
2019-12-01 07:45:59,20.58
2019-12-01 07:46:29,19.74
2019-12-01 07:46:59,3.9
2019-12-01 07:52:44,13.56
2019-12-01 07:53:13,22.19
2019-12-01 07:53:43,11.08
2019-12-01 07:54:13,15.26
2019-12-01 07:54:43,9.2
2019-12-02 06:00:11,1.02
2019-12-02 06:00:21,13.3
2019-12-02 06:00:31,3.03
2019-12-02 06:00:41,2.01
2019-12-02 06:00:51,10.22
2019-12-02 06:01:01,10.35
2019-12-02 06:01:04,10.61
2019-12-02 06:01:04,11.1
2019-12-02 06:01:31,8.72
2019-12-02 06:02:11,14.42
2019-12-02 06:02:40,9.05
2019-12-02 06:02:42,13.86
2019-12-02 06:02:42,4.26
2019-12-02 06:02:52,7.55
2019-12-02 06:03:10,8.54
2019-12-02 06:03:40,9.55
2019-12-02 06:30:28,8.03
2019-12-02 06:31:32,15.14
2019-12-02 06:31:56,17.21
2019-12-02 06:32:02,20.45
2019-12-02 06:32:26,12.11
2019-12-02 06:32:28,2.88
2019-12-02 06:32:32,2.75
2019-12-02 06:33:28,5.61
2019-12-02 06:33:58,11.69
2019-12-02 06:34:25,20.11
2019-12-02 06:34:27,5.61
2019-12-02 06:35:25,5.65
2019-12-02 06:35:56,11.36
2019-12-02 06:36:26,9.33
2019-12-02 06:36:56,10.68
2019-12-02 06:39:40,13.76
2019-12-02 06:40:11,10.64
2019-12-02 06:40:49,14.75
2019-12-02 06:41:39,4.47
2019-12-02 06:42:09,3.33
2019-12-02 06:42:39,1.05
2019-12-02 06:52:04,5.47
2019-12-02 06:52:34,2.69
2019-12-02 06:55:51,1.37
2019-12-02 06:56:01,4.23
2019-12-02 06:56:23,2.41
2019-12-02 06:56:39,5.44
2019-12-02 06:56:59,2.98
2019-12-02 06:57:02,14.87
2019-12-02 06:57:18,4.94
2019-12-02 06:57:31,12.74
2019-12-02 06:58:06,13.12
2019-12-02 06:58:31,12.38
2019-12-02 07:00:00,4.37
2019-12-02 07:04:42,11.24
2019-12-02 07:05:13,12.69
2019-12-02 07:05:42,3.25
2019-12-02 07:06:12,2.98
2019-12-02 07:06:41,1.52
2019-12-02 07:07:11,12.78
2019-12-02 07:09:10,3.2
2019-12-02 07:09:40,2.29
2019-12-02 07:11:29,17.06
2019-12-02 07:16:04,9.06
2019-12-02 07:16:28,1.29
2019-12-02 07:16:58,14.69
2019-12-02 07:17:27,4.11
2019-12-02 07:17:57,5.18
2019-12-02 07:18:31,14.91
2019-12-02 07:18:56,12.05
2019-12-02 07:19:56,5.53
2019-12-02 07:23:40,15.6
2019-12-02 07:45:54,14.61
2019-12-02 07:46:24,8.32
2019-12-02 07:59:28,7.04
2019-12-02 07:59:39,6.62
2019-12-02 07:59:58,5.1
2019-12-03 06:02:47,3.98
2019-12-03 06:03:18,12.83
2019-12-03 06:04:20,7.49
2019-12-03 06:04:50,8.84
2019-12-03 06:05:20,7.91
2019-12-03 06:06:20,6.73
2019-12-03 06:07:14,1.88
2019-12-03 06:07:43,7.55
2019-12-03 06:08:13,11.07
2019-12-03 06:08:43,17.05
2019-12-03 06:09:12,5.16
2019-12-03 06:10:12,13.56
2019-12-03 06:10:42,13.44
2019-12-03 06:12:11,2.68
2019-12-03 06:13:47,12.79
2019-12-03 06:14:09,14.35
2019-12-03 06:14:39,4.45
2019-12-03 06:15:09,4.14
2019-12-03 06:15:39,3.0
2019-12-03 06:16:10,15.63
2019-12-03 06:17:37,18.93
2019-12-03 06:18:37,1.86
2019-12-03 06:20:06,2.32
2019-12-03 06:21:36,8.22
2019-12-03 06:22:06,4.47
2019-12-03 06:22:36,10.87
2019-12-03 06:26:24,3.22
2019-12-03 06:26:49,3.7
2019-12-03 06:27:19,6.54
2019-12-03 06:27:49,6.97
2019-12-03 06:28:48,4.41
2019-12-03 06:29:59,7.36
2019-12-03 06:44:07,5.35
2019-12-03 06:44:37,8.31
2019-12-03 06:45:07,6.77
2019-12-03 06:45:37,12.89
2019-12-03 06:46:07,11.98
2019-12-03 06:46:42,9.45
2019-12-03 06:47:07,6.91
2019-12-03 06:47:36,4.21
2019-12-03 06:49:05,6.38
2019-12-03 06:49:15,5.81
2019-12-03 06:49:45,11.54
2019-12-03 06:50:14,2.41
2019-12-03 06:50:44,3.06
2019-12-03 06:54:40,3.02
2019-12-03 06:57:09,7.26
2019-12-03 06:57:39,8.08
2019-12-03 06:58:08,8.97
2019-12-03 06:58:38,11.12
2019-12-03 07:00:08,5.99
2019-12-03 07:02:57,14.92
2019-12-03 07:03:28,5.05
2019-12-03 07:04:06,3.48
2019-12-03 07:04:26,5.7
2019-12-03 07:04:56,4.19
2019-12-03 07:05:26,3.17
2019-12-03 07:05:56,10.94
2019-12-03 07:06:55,10.02
2019-12-03 07:07:25,9.84
2019-12-03 07:07:55,13.2
2019-12-03 07:08:54,4.79
2019-12-03 07:31:45,16.31
2019-12-03 07:38:43,14.23
2019-12-03 07:39:43,6.18
2019-12-03 07:40:12,2.6
2019-12-03 07:49:19,12.83
2019-12-03 07:49:49,1.96
2019-12-03 07:50:19,1.45
2019-12-03 07:50:49,15.89
2019-12-03 07:51:18,2.98
2019-12-03 07:56:05,1.93
2019-12-03 07:56:34,9.36
2019-12-03 07:57:05,1.22
2019-12-03 07:57:34,4.39
2019-12-03 07:58:04,8.53
2019-12-03 07:58:34,9.16
2019-12-03 07:59:03,9.37
2019-12-04 06:00:11,7.21
2019-12-04 06:00:41,9.43
2019-12-04 06:07:23,3.53
2019-12-04 06:07:53,9.58
2019-12-04 06:08:22,4.1
2019-12-04 06:10:49,2.1
2019-12-04 06:11:19,11.53
2019-12-04 06:11:48,1.29
2019-12-04 06:12:47,1.71
2019-12-04 06:13:17,1.66
2019-12-04 06:14:44,3.91
2019-12-04 06:15:46,9.98
2019-12-04 06:16:16,11.69
2019-12-04 06:17:03,15.46
2019-12-04 06:17:15,7.29
2019-12-04 06:17:33,14.21
2019-12-04 06:17:43,16.54
2019-12-04 06:18:02,4.11
2019-12-04 06:22:11,12.17
2019-12-04 06:22:43,18.53
2019-12-04 06:23:40,10.12
2019-12-04 06:31:09,3.4
2019-12-04 06:32:07,4.52
2019-12-04 06:32:37,6.35
2019-12-04 06:44:48,12.959
2019-12-04 06:48:15,4.85961
2019-12-04 06:48:46,3.23974
2019-12-04 06:54:24,1.18
2019-12-04 06:56:24,9.02
2019-12-04 06:56:53,2.04
2019-12-04 06:57:23,3.05
2019-12-04 07:15:48,4.84
2019-12-04 07:15:57,8.35
2019-12-04 07:16:18,13.92
2019-12-04 07:16:27,8.52
2019-12-04 07:16:48,13.02
2019-12-04 07:16:50,12.81
2019-12-04 07:16:57,1.28
2019-12-04 07:17:05,3.98
2019-12-04 07:18:05,7.9
2019-12-04 07:18:35,12.55
2019-12-04 07:18:47,16.16
2019-12-04 07:18:49,1.79
2019-12-04 07:19:19,5.89
2019-12-04 07:21:04,8.59
2019-12-04 07:24:44,8.71
2019-12-04 07:54:38,19.57
2019-12-04 07:58:30,7.5
2019-12-05 06:00:16,2.47
2019-12-05 06:00:46,4.04
2019-12-05 06:01:16,16.41
2019-12-05 06:01:46,6.87
2019-12-05 06:02:15,5.0
2019-12-05 06:02:46,12.85
2019-12-05 06:04:14,1.72
2019-12-05 06:09:25,2.24
2019-12-05 06:09:56,2.24
2019-12-05 06:10:25,10.37
2019-12-05 06:10:54,10.68
2019-12-05 06:11:24,10.68
2019-12-05 06:11:54,8.0
2019-12-05 06:15:04,6.5
2019-12-05 06:15:34,7.34
2019-12-05 06:19:02,7.9
2019-12-05 06:19:32,11.58
2019-12-05 06:19:53,2.85
2019-12-05 06:20:02,8.87
2019-12-05 06:20:32,10.5
2019-12-05 06:24:51,7.41
2019-12-05 06:25:21,9.94
2019-12-05 06:25:51,17.81
2019-12-05 06:26:21,2.51
2019-12-05 06:27:20,10.9
2019-12-05 06:28:20,6.39
2019-12-05 06:29:39,3.52
2019-12-05 06:30:38,8.11
2019-12-05 06:31:08,9.1
2019-12-05 06:31:39,1.27
2019-12-05 06:32:16,8.05
2019-12-05 06:32:42,9.0
2019-12-05 06:32:49,16.32
2019-12-05 06:33:19,6.9
2019-12-05 06:33:49,8.16
2019-12-05 06:34:19,13.51
2019-12-05 06:34:48,14.15
2019-12-05 06:35:22,13.65
2019-12-05 06:37:17,17.35
2019-12-05 06:37:45,4.2
2019-12-05 06:37:50,14.2
2019-12-05 06:38:15,9.09
2019-12-05 06:38:16,5.35
2019-12-05 06:38:45,3.29
2019-12-05 06:45:44,14.58
2019-12-05 06:46:11,11.21
2019-12-05 06:46:20,13.34
2019-12-05 06:46:41,8.98
2019-12-05 06:46:49,3.08
2019-12-05 06:47:11,15.91
2019-12-05 06:49:10,3.22
2019-12-05 06:49:18,13.12
2019-12-05 06:49:40,13.43
2019-12-05 06:49:48,4.7
2019-12-05 06:50:10,8.01
2019-12-05 06:50:18,4.39
2019-12-05 06:51:09,1.15
2019-12-05 06:51:17,4.58
2019-12-05 06:54:52,2.5
2019-12-05 06:55:24,7.65
2019-12-05 06:56:21,8.22
2019-12-05 06:58:51,18.22
2019-12-05 06:59:21,5.06
2019-12-05 07:18:31,11.27
2019-12-05 07:19:01,7.92
2019-12-05 07:19:30,2.34
2019-12-05 07:32:29,12.12
2019-12-05 07:32:59,4.04
2019-12-05 07:33:29,3.59
2019-12-05 07:33:59,15.32
2019-12-05 07:34:29,10.34
2019-12-05 07:36:59,10.6
2019-12-05 07:37:29,4.66
2019-12-05 07:37:52,4.45
2019-12-05 07:37:59,3.16
2019-12-05 07:38:22,5.07
2019-12-05 07:43:56,10.39
2019-12-05 07:44:25,7.06
2019-12-05 07:44:55,2.46
2019-12-05 07:45:24,2.22
