datetime,speed
2019-12-01 08:06:23,18.16
2019-12-01 08:06:52,19.1
2019-12-01 08:07:22,3.71
2019-12-01 08:12:18,13.5
2019-12-01 08:12:48,12.13
2019-12-01 08:14:47,8.48
2019-12-01 08:23:10,19.28
2019-12-01 08:24:03,3.55
2019-12-01 08:24:33,1.37
2019-12-01 08:27:32,5.14
2019-12-01 08:28:01,4.15
2019-12-01 08:28:17,12.7
2019-12-01 08:28:31,4.6
2019-12-01 08:31:04,10.29
2019-12-01 08:37:30,11.48
2019-12-01 08:38:51,8.52
2019-12-01 08:39:21,7.14
2019-12-01 08:39:51,5.79
2019-12-01 08:39:59,5.54
2019-12-01 08:40:24,6.49
2019-12-01 08:40:29,12.02
2019-12-01 08:40:51,15.65
2019-12-01 08:40:58,15.3
2019-12-01 08:41:28,3.85
2019-12-01 08:41:58,7.21
2019-12-01 08:43:27,4.18
2019-12-01 08:44:57,2.7
2019-12-01 08:45:27,6.49
2019-12-01 08:45:56,4.18
2019-12-01 09:10:05,3.09
2019-12-01 09:11:14,1.82
2019-12-01 09:11:44,1.0
2019-12-01 09:12:13,7.67
2019-12-01 09:12:43,10.03
2019-12-01 09:25:07,13.4
2019-12-01 09:25:36,8.37
2019-12-01 09:27:17,2.66
2019-12-01 09:33:16,12.49
2019-12-01 09:44:28,4.19
2019-12-01 09:44:58,12.04
2019-12-01 09:45:28,5.49
2019-12-01 09:45:58,7.15
2019-12-01 09:46:27,5.85
2019-12-01 09:47:18,7.98
2019-12-01 09:47:48,6.38
2019-12-01 09:49:17,1.61
2019-12-01 09:59:03,2.84
2019-12-01 10:00:02,14.64
2019-12-01 10:00:44,8.51
2019-12-01 10:13:13,13.2
2019-12-01 10:13:43,10.16
2019-12-01 10:22:04,12.29
2019-12-01 10:22:34,8.97
2019-12-01 10:23:04,10.13
2019-12-01 10:24:33,8.69
2019-12-01 10:25:03,4.77
2019-12-01 10:27:02,3.63
2019-12-01 10:27:32,10.33
2019-12-01 10:28:02,2.11
2019-12-01 10:28:31,4.74
2019-12-01 10:37:01,1.38
2019-12-01 10:37:31,6.53
2019-12-01 10:38:00,6.47
2019-12-01 10:39:01,7.98
2019-12-01 10:39:34,5.97
2019-12-01 10:44:08,9.47
2019-12-01 10:44:22,1.27
2019-12-01 10:44:52,9.11
2019-12-01 10:45:22,13.68
2019-12-01 10:45:51,6.81
2019-12-01 10:47:03,7.22
2019-12-01 10:47:51,3.07
2019-12-01 10:48:32,4.02
2019-12-01 10:48:37,5.04
2019-12-01 10:48:42,16.73
2019-12-01 10:48:57,12.91
2019-12-01 10:49:15,5.16
2019-12-01 10:49:27,11.3
2019-12-01 10:49:57,10.85
2019-12-01 10:50:27,14.81
2019-12-01 10:50:56,12.75
2019-12-01 10:51:26,4.25
2019-12-02 08:00:17,5.36
2019-12-02 08:00:37,1.71
2019-12-02 08:21:15,16.76
2019-12-02 08:21:45,5.83
2019-12-02 08:22:15,2.68
2019-12-02 08:40:58,2.84
2019-12-02 08:43:37,10.57
2019-12-02 08:43:50,10.59
2019-12-02 08:44:07,11.51
2019-12-02 08:44:20,1.02
2019-12-02 08:44:50,7.08
2019-12-02 08:45:07,9.53
2019-12-02 08:45:27,11.76
2019-12-02 08:45:57,5.83
2019-12-02 08:46:47,3.11
2019-12-02 08:47:06,1.15
2019-12-02 08:47:20,3.26
2019-12-02 08:48:26,1.03
2019-12-02 08:48:48,4.91
2019-12-02 08:49:18,19.18
2019-12-02 08:49:55,4.88
2019-12-02 08:52:16,6.73
2019-12-02 08:52:51,11.44
2019-12-02 08:53:17,4.24
2019-12-02 08:53:46,6.6
2019-12-02 09:00:31,8.57
2019-12-02 09:00:52,10.02
2019-12-02 09:01:22,7.74
2019-12-02 09:01:52,5.89
2019-12-02 09:02:19,6.46
2019-12-02 09:03:19,5.41
2019-12-02 09:03:49,5.55
2019-12-02 09:09:07,4.39
2019-12-02 09:19:03,5.6
2019-12-02 09:20:59,4.87
2019-12-02 09:22:29,6.87
2019-12-02 09:24:01,2.92
2019-12-02 09:24:30,8.3
2019-12-02 09:41:27,2.06
2019-12-02 09:41:57,11.51
2019-12-02 09:42:57,1.47
2019-12-02 09:44:26,13.94
2019-12-02 09:46:55,4.89
2019-12-02 09:47:26,6.14
2019-12-02 09:48:25,6.67
2019-12-02 09:48:54,6.77
2019-12-02 09:49:24,8.81
2019-12-02 09:50:24,4.78
2019-12-02 10:44:40,8.26
2019-12-02 10:45:37,3.81
2019-12-02 10:50:05,3.76
2019-12-02 10:50:35,3.4
2019-12-02 10:56:02,1.68
2019-12-02 10:56:32,6.2
2019-12-02 10:58:17,10.32
2019-12-02 10:58:47,9.62
2019-12-03 08:00:33,5.52
2019-12-03 08:09:29,1.33
2019-12-03 08:09:59,2.66
2019-12-03 08:10:58,4.87
2019-12-03 08:11:28,1.66
2019-12-03 08:13:57,7.44
2019-12-03 08:15:26,5.75
2019-12-03 08:15:56,3.12
2019-12-03 08:19:24,5.57
2019-12-03 08:22:53,3.71
2019-12-03 08:23:23,4.52
2019-12-03 08:24:22,6.79
2019-12-03 08:24:52,5.96
2019-12-03 08:25:22,3.77
2019-12-03 08:26:14,13.13
2019-12-03 08:26:44,7.08
2019-12-03 08:27:14,6.26
2019-12-03 08:27:44,1.07
2019-12-03 08:28:14,6.42
2019-12-03 08:40:36,14.17
2019-12-03 08:42:32,1.58
2019-12-03 08:43:05,3.79
2019-12-03 08:43:11,1.1
2019-12-03 08:43:31,4.2
2019-12-03 08:43:35,8.25
2019-12-03 08:43:57,1.72
2019-12-03 08:44:29,2.38
2019-12-03 08:45:46,13.86
2019-12-03 08:48:15,1.4
2019-12-03 08:49:15,2.78
2019-12-03 08:49:45,4.0
2019-12-03 08:50:15,9.05
2019-12-03 08:52:32,10.73
2019-12-03 08:54:51,3.54
2019-12-03 08:55:51,6.76
2019-12-03 08:57:20,4.41
2019-12-03 08:58:08,19.15
2019-12-03 08:59:08,1.79
2019-12-03 08:59:38,6.89
2019-12-03 09:00:07,9.34
2019-12-03 09:06:05,8.23
2019-12-03 09:06:35,1.29
2019-12-03 09:07:05,1.38
2019-12-03 09:08:34,14.19
2019-12-03 09:15:23,5.65
2019-12-03 09:23:18,13.46
2019-12-03 09:23:18,9.27
2019-12-03 09:23:18,7.56
2019-12-03 09:23:18,7.09
2019-12-03 09:24:36,16.63
2019-12-04 08:00:06,1.48
2019-12-04 08:01:59,3.99
2019-12-04 08:03:27,5.57
2019-12-04 08:03:57,3.4
2019-12-04 08:04:27,7.52
2019-12-04 08:04:57,5.1
2019-12-04 08:05:27,8.81
2019-12-04 08:05:56,10.74
2019-12-04 08:06:56,13.25
2019-12-04 08:08:55,8.6
2019-12-04 08:31:34,10.65
2019-12-04 08:32:03,6.94
2019-12-04 08:32:33,6.31
2019-12-04 08:38:31,4.79
2019-12-04 08:40:00,7.35
2019-12-04 08:55:03,4.6
2019-12-04 08:55:35,5.77
2019-12-04 08:56:02,5.0
2019-12-04 08:56:32,1.61
2019-12-04 08:57:03,13.44
2019-12-04 08:57:32,4.53
2019-12-04 08:58:01,3.65
2019-12-04 09:06:43,6.72
2019-12-04 09:06:43,16.73
2019-12-04 09:22:58,12.39
2019-12-04 09:24:34,12.56
2019-12-04 09:24:57,1.08
2019-12-04 09:25:27,5.36
2019-12-04 09:25:56,10.66
2019-12-04 09:26:26,3.04
2019-12-04 09:26:56,9.18
2019-12-04 09:27:26,11.5
2019-12-04 09:27:56,5.39
2019-12-04 09:28:25,1.11
2019-12-04 09:28:55,3.72
2019-12-04 09:35:48,21.7
2019-12-04 09:46:56,9.26
2019-12-04 09:47:26,9.81
2019-12-04 09:47:55,1.02
2019-12-04 09:48:25,5.19
2019-12-04 09:49:25,12.54
2019-12-04 09:50:54,6.17
2019-12-04 09:51:24,10.15
