datetime,speed
2019-12-01 11:32:09,19.15
2019-12-01 11:32:40,19.73
2019-12-01 11:33:08,20.84
2019-12-01 11:33:38,16.25
2019-12-01 11:34:08,22.2
2019-12-01 12:10:58,17.46
2019-12-01 12:15:50,18.23
2019-12-01 12:16:33,20.23
2019-12-01 12:16:49,12.03
2019-12-01 12:17:19,1.26
2019-12-01 12:17:50,3.94
2019-12-01 12:18:21,23.79
2019-12-01 12:20:11,6.43
2019-12-01 12:21:04,11.55
2019-12-01 12:21:22,22.74
2019-12-01 12:21:47,6.27
2019-12-01 12:21:53,26.63
2019-12-01 12:22:22,21.25
2019-12-01 12:54:37,11.34
2019-12-01 12:55:07,21.42
2019-12-01 12:56:07,4.34
2019-12-01 13:52:08,21.97
2019-12-02 12:03:12,2.33
2019-12-02 12:18:14,19.41
2019-12-02 12:18:51,19.73
2019-12-02 12:22:12,2.19
2019-12-02 12:28:09,1.27
2019-12-02 12:33:07,1.14
2019-12-02 12:42:51,12.11
2019-12-02 12:43:22,12.8
2019-12-02 12:43:49,3.86
2019-12-02 12:43:51,9.82
2019-12-02 12:44:21,10.04
2019-12-02 12:44:50,4.75
2019-12-02 12:45:28,4.67
2019-12-02 13:02:47,13.48
2019-12-02 13:03:17,23.56
2019-12-02 13:03:47,1.47
2019-12-02 13:04:18,21.22
2019-12-02 13:04:48,12.97
2019-12-02 13:06:01,4.75
2019-12-02 13:08:26,20.13
2019-12-02 13:09:49,24.49
2019-12-02 13:09:50,1.1
2019-12-02 13:21:29,21.1
2019-12-02 13:21:50,15.86
2019-12-02 13:22:20,19.87
2019-12-02 13:22:52,19.5
2019-12-02 13:28:36,8.95
2019-12-02 13:35:03,18.62
2019-12-02 13:35:34,24.47
2019-12-02 13:36:03,7.56
2019-12-02 13:36:37,27.19
2019-12-02 13:37:03,26.11
2019-12-02 13:54:50,9.36
2019-12-02 13:55:19,30.71
2019-12-02 13:55:53,29.01
2019-12-02 13:58:57,22.62
2019-12-02 13:59:23,21.37
2019-12-02 13:59:58,23.61
2019-12-02 14:00:23,14.09
2019-12-02 14:50:08,23.35
2019-12-02 14:50:38,17.45
2019-12-02 14:51:08,20.36
2019-12-02 14:51:41,17.87
