datetime,speed
2019-12-01 16:07:11,25.61
2019-12-01 16:07:40,25.16
2019-12-01 16:08:18,27.17
2019-12-01 16:18:16,29.28
2019-12-01 16:18:25,24.84
2019-12-01 16:18:56,24.12
2019-12-01 16:19:20,18.64
2019-12-01 17:46:42,13.67
2019-12-01 17:47:41,28.44
2019-12-01 17:48:11,24.8
2019-12-02 16:31:55,29.1
2019-12-02 16:32:31,33.39
2019-12-02 16:45:42,19.19
2019-12-02 16:46:11,22.42
2019-12-02 16:47:11,22.45
2019-12-03 16:28:22,27.94
2019-12-03 16:28:43,24.48
2019-12-03 16:28:46,18.53
2019-12-03 16:29:13,23.97
2019-12-03 16:29:32,37.64
2019-12-03 16:29:42,24.84
2019-12-03 16:30:13,27.91
2019-12-03 16:58:04,24.05
2019-12-03 16:59:34,24.47
2019-12-03 17:17:48,27.91
2019-12-03 17:18:16,26.22
2019-12-03 17:18:27,26.14
2019-12-03 17:18:46,37.39
2019-12-03 17:19:33,29.09
2019-12-03 17:51:11,33.2
2019-12-03 17:51:41,29.05
2019-12-03 17:52:11,27.49
2019-12-04 17:21:02,31.54
2019-12-04 17:21:32,27.18
2019-12-04 17:22:02,28.88
2019-12-05 17:17:57,28.71
2019-12-05 17:18:33,25.06
2019-12-05 17:18:57,24.77
2019-12-05 17:19:16,31.47
2019-12-05 17:19:28,28.06
2019-12-05 17:46:25,27.45
2019-12-05 17:47:02,31.93
2019-12-05 17:47:25,28.8
2019-12-06 16:14:31,25.51
2019-12-06 16:15:31,28.77
2019-12-06 16:16:01,20.97
2019-12-06 16:25:00,22.22
2019-12-06 16:25:30,20.82
2019-12-06 16:26:04,26.87
2019-12-06 16:26:29,26.86
2019-12-06 17:26:57,22.73
2019-12-06 17:27:56,34.9
2019-12-06 17:42:20,35.27
2019-12-06 17:42:49,33.69
2019-12-06 17:43:19,33.54
2019-12-07 16:08:21,29.06
2019-12-07 16:08:51,22.81
2019-12-07 16:09:20,31.06
2019-12-07 16:25:33,25.26
2019-12-07 16:29:03,24.02
2019-12-07 16:38:18,24.91
2019-12-07 16:38:39,27.6
2019-12-07 16:39:17,27.9
2019-12-07 17:00:00,27.94
2019-12-07 17:00:37,25.79
2019-12-07 17:00:58,32.1
2019-12-08 17:07:53,29.33
2019-12-08 17:08:23,28.05
2019-12-08 17:08:52,26.65
2019-12-08 17:28:14,26.78
2019-12-08 17:28:50,36.54
2019-12-08 17:29:13,25.85
2019-12-09 16:20:56,21.79
2019-12-09 16:21:56,24.03
2019-12-09 16:28:45,22.82
2019-12-09 16:29:52,23.13
2019-12-09 16:30:14,29.27
2019-12-09 16:50:32,25.41
2019-12-09 16:50:53,22.59
2019-12-09 16:51:04,25.72
2019-12-09 17:40:17,23.5
