datetime,speed
2019-12-01 06:01:33,13.65
2019-12-01 06:02:07,2.97
2019-12-01 06:02:35,3.07
2019-12-01 06:03:37,12.79
2019-12-01 06:04:01,13.35
2019-12-01 06:05:01,6.8
2019-12-01 06:05:23,20.47
2019-12-01 06:05:49,21.2
2019-12-01 06:06:31,16.42
2019-12-01 06:06:49,18.09
2019-12-01 06:07:00,11.72
2019-12-01 06:07:48,4.78
2019-12-01 06:53:00,29.91
2019-12-01 07:18:29,14.08
2019-12-01 07:19:17,10.55
2019-12-01 07:19:47,9.89
2019-12-01 07:22:41,17.46
2019-12-01 07:23:11,10.89
2019-12-01 07:24:13,27.72
2019-12-01 07:24:17,5.46
2019-12-01 07:24:41,15.64
2019-12-01 07:25:15,19.0
2019-12-01 07:25:42,19.95
2019-12-01 07:26:21,16.49
2019-12-01 07:46:59,9.69
2019-12-01 07:47:29,12.38
2019-12-02 06:04:07,22.06
2019-12-02 06:04:37,11.8
2019-12-02 06:28:45,3.4
2019-12-02 06:29:15,12.59
2019-12-02 06:30:38,4.31
2019-12-02 06:30:56,26.4
2019-12-02 06:30:58,10.06
2019-12-02 06:31:27,18.85
2019-12-02 06:31:34,6.15
2019-12-02 06:32:30,5.11
2019-12-02 06:32:58,17.24
2019-12-02 06:33:27,19.25
2019-12-02 06:38:33,17.29
2019-12-02 06:38:59,16.98
2019-12-02 06:39:33,4.91
2019-12-02 06:40:28,15.59
2019-12-02 06:40:59,2.58
2019-12-02 06:41:28,1.71
2019-12-02 06:50:47,27.92
2019-12-02 06:51:47,3.8
2019-12-02 06:52:34,11.03
2019-12-02 06:52:54,11.31
2019-12-02 06:53:03,21.81
2019-12-02 06:54:49,17.31
2019-12-02 06:54:50,17.11
2019-12-02 07:00:42,25.07
2019-12-02 07:01:12,21.46
2019-12-02 07:02:12,14.08
2019-12-02 07:09:38,7.62
2019-12-02 07:16:58,4.59
2019-12-02 07:17:41,15.77
2019-12-02 07:17:56,7.95
2019-12-02 07:18:36,14.09
2019-12-02 07:19:01,8.36
2019-12-02 07:19:37,14.51
2019-12-03 06:00:26,5.7
2019-12-03 06:06:45,15.17
2019-12-03 06:07:17,21.85
2019-12-03 06:08:14,2.75
2019-12-03 06:08:44,5.01
2019-12-03 06:18:34,13.41
2019-12-03 06:21:21,24.42
2019-12-03 06:30:23,4.77
2019-12-03 06:31:10,33.04
2019-12-03 06:31:40,6.99
2019-12-03 06:32:09,12.84
2019-12-03 06:32:42,25.8
2019-12-03 06:33:39,15.64
2019-12-03 06:34:09,13.7
2019-12-03 06:34:39,17.3
2019-12-03 06:35:09,9.37
2019-12-03 06:35:47,12.59
2019-12-03 06:36:08,4.88
2019-12-03 06:48:03,15.16
2019-12-03 06:48:33,20.03
2019-12-03 06:49:04,8.92
2019-12-03 06:49:34,19.56
2019-12-03 06:50:03,15.36
2019-12-03 07:11:25,11.09
2019-12-03 07:11:55,22.15
2019-12-03 07:12:25,13.37
2019-12-03 07:13:24,7.31
2019-12-03 07:14:54,1.2
2019-12-03 07:16:23,6.66
2019-12-03 07:27:47,18.45
2019-12-03 07:28:17,11.81
2019-12-03 07:28:46,20.08
2019-12-04 06:01:23,2.1
2019-12-04 06:02:17,6.45
2019-12-04 06:02:22,17.75
2019-12-04 06:03:51,5.1
2019-12-04 06:05:27,6.67
2019-12-04 06:06:20,14.03
2019-12-04 06:19:48,3.4
2019-12-04 06:20:18,2.91
2019-12-04 06:21:18,1.93
2019-12-04 06:41:28,14.48
2019-12-04 06:41:59,28.29
2019-12-04 06:42:29,2.09
2019-12-04 06:42:58,26.98
2019-12-04 06:43:28,8.5
2019-12-04 06:44:43,3.31
2019-12-04 06:45:11,16.57
2019-12-04 06:45:40,14.11
2019-12-04 06:46:40,2.74
2019-12-04 06:47:10,28.04
2019-12-04 06:49:05,20.74
2019-12-04 06:49:34,12.55
2019-12-04 06:50:04,17.77
2019-12-04 06:59:53,19.85
2019-12-04 07:01:22,8.94
2019-12-04 07:11:46,16.11
2019-12-04 07:12:46,10.29
2019-12-04 07:13:15,27.47
2019-12-04 07:13:45,19.92
2019-12-04 07:18:12,28.36
2019-12-04 07:18:56,28.01
2019-12-04 07:19:42,3.35
2019-12-04 07:20:41,29.24
2019-12-04 07:20:55,13.96
2019-12-04 07:21:25,26.42
2019-12-04 07:22:25,4.76
2019-12-04 07:44:57,29.27
2019-12-04 07:45:06,7.36
2019-12-04 07:45:26,26.67
2019-12-04 07:45:56,25.33
2019-12-04 07:46:26,29.42
2019-12-04 07:46:48,23.2182
2019-12-04 07:46:59,29.1577
2019-12-04 07:47:49,23.2182
2019-12-04 07:47:59,28.6177
2019-12-04 07:48:09,29.1577
2019-12-04 07:48:29,20.5184
2019-12-04 07:48:51,5.39957
2019-12-05 06:01:51,15.16
2019-12-05 06:02:31,17.43
2019-12-05 06:02:33,1.27
2019-12-05 06:02:45,3.71
2019-12-05 06:02:58,4.51
2019-12-05 06:03:01,25.05
2019-12-05 06:03:27,6.18
2019-12-05 06:03:34,7.8
2019-12-05 06:04:00,27.59
2019-12-05 06:04:30,15.53
2019-12-05 06:05:27,7.16
2019-12-05 06:05:56,3.07
2019-12-05 06:06:26,3.07
2019-12-05 06:10:06,6.3
2019-12-05 06:11:18,20.27
2019-12-05 06:11:39,7.99
2019-12-05 06:12:14,14.64
2019-12-05 06:12:44,21.46
2019-12-05 06:13:56,10.66
2019-12-05 06:14:26,21.04
2019-12-05 06:14:55,9.09
2019-12-05 06:15:25,22.37
2019-12-05 06:15:33,31.52
2019-12-05 06:15:59,15.23
2019-12-05 06:16:03,16.63
2019-12-05 06:16:25,24.07
2019-12-05 06:16:33,30.56
2019-12-05 06:17:44,3.49
2019-12-05 06:18:16,19.13
2019-12-05 06:18:57,14.58
2019-12-05 06:19:12,21.11
2019-12-05 06:19:14,8.43
2019-12-05 06:19:22,24.06
2019-12-05 06:19:46,28.67
