datetime,speed
2019-12-01 08:32:32,3.31
2019-12-01 08:33:04,19.92
2019-12-01 08:33:32,13.55
2019-12-01 08:34:06,12.32
2019-12-01 08:34:31,17.96
2019-12-01 08:35:02,3.71
2019-12-01 08:35:40,14.73
2019-12-01 08:54:51,12.7
2019-12-01 08:56:20,10.21
2019-12-01 08:57:50,10.22
2019-12-01 08:58:19,14.56
2019-12-01 08:59:45,24.85
2019-12-01 09:00:04,27.75
2019-12-01 09:00:37,15.54
2019-12-01 09:01:23,28.71
2019-12-01 09:21:49,6.5
2019-12-01 09:22:46,17.88
2019-12-01 09:22:50,11.42
2019-12-01 09:23:48,8.6
2019-12-01 09:24:17,12.73
2019-12-01 09:24:55,13.32
2019-12-01 09:25:47,10.2
2019-12-01 09:26:17,4.4
2019-12-01 09:26:46,17.09
2019-12-01 09:50:17,23.92
2019-12-01 09:50:48,19.95
2019-12-01 09:51:46,13.76
2019-12-01 09:52:16,24.22
2019-12-01 10:21:24,23.1
2019-12-01 10:22:43,1.84
2019-12-01 10:42:38,9.95
2019-12-01 10:48:40,4.98
2019-12-01 10:48:40,14.71
2019-12-01 10:54:28,19.64
2019-12-01 10:54:37,14.68
2019-12-01 10:55:08,1.18
2019-12-02 08:00:29,23.98
2019-12-02 08:01:57,11.5
2019-12-02 08:02:28,17.52
2019-12-02 08:04:14,25.35
2019-12-02 08:04:44,20.34
2019-12-02 08:04:56,25.31
2019-12-02 08:05:26,12.92
2019-12-02 08:06:01,9.21
2019-12-02 08:06:26,5.82
2019-12-02 08:07:25,21.08
2019-12-02 08:49:13,16.2
2019-12-02 08:51:46,22.44
2019-12-02 08:52:11,23.11
2019-12-02 09:07:09,19.82
2019-12-02 09:07:39,22.85
2019-12-02 09:25:50,13.39
2019-12-02 09:26:50,14.4
2019-12-02 09:28:47,2.5
2019-12-02 09:29:46,27.79
2019-12-02 09:30:18,18.1
2019-12-02 09:31:04,7.06
2019-12-02 09:53:22,19.11
2019-12-02 09:58:46,28.16
2019-12-02 09:59:15,25.26
2019-12-02 10:00:15,21.68
2019-12-02 10:09:19,20.59
2019-12-02 10:09:29,24.02
2019-12-02 10:09:48,5.31
2019-12-02 10:10:02,16.57
2019-12-02 10:10:29,9.98
2019-12-02 10:10:48,18.06
2019-12-02 10:11:07,21.82
2019-12-02 10:11:18,23.13
2019-12-02 10:11:33,23.92
2019-12-02 10:19:34,28.38
2019-12-02 10:20:00,12.08
2019-12-02 10:21:03,13.3
2019-12-03 08:30:59,23.86
2019-12-03 08:31:25,13.13
2019-12-03 08:46:51,21.56
2019-12-03 08:47:18,15.68
2019-12-03 08:48:17,8.18
2019-12-03 08:48:47,12.29
2019-12-03 08:57:07,18.06
2019-12-03 08:57:37,15.59
2019-12-04 08:12:28,22.87
2019-12-04 08:12:56,14.59
2019-12-04 08:54:23,4.44
2019-12-04 08:54:53,16.36
