datetime,speed
2019-12-01 11:11:28,15.83
2019-12-01 11:12:27,14.09
2019-12-01 11:12:57,11.44
2019-12-01 11:13:27,3.06
2019-12-01 11:17:46,2.49
2019-12-01 11:19:15,16.89
2019-12-01 11:29:31,3.87
2019-12-01 11:30:01,10.06
2019-12-01 11:35:43,12.64
2019-12-01 12:10:23,1.72
2019-12-01 12:10:46,8.41
2019-12-01 12:10:47,8.94
2019-12-01 12:10:48,12.71
2019-12-01 12:10:49,10.17
2019-12-01 12:10:50,7.87
2019-12-01 12:10:51,11.58
2019-12-01 12:10:52,3.48
2019-12-01 12:10:53,6.59
2019-12-01 12:11:01,2.53
2019-12-01 12:11:31,4.69
2019-12-01 12:12:01,4.17
2019-12-01 12:12:32,3.93
2019-12-01 12:13:04,17.13
2019-12-01 12:17:58,1.27
2019-12-01 14:56:48,8.41
2019-12-02 11:24:43,3.07
2019-12-02 11:25:44,2.09
2019-12-02 11:26:13,2.31
2019-12-02 11:26:42,2.9
2019-12-02 11:27:42,5.14
2019-12-02 11:28:42,8.14
2019-12-02 11:29:41,3.45
2019-12-02 11:30:11,6.91
2019-12-02 11:31:15,8.31
2019-12-02 11:41:57,8.3
2019-12-02 11:42:41,16.23
2019-12-02 11:43:18,7.83
2019-12-02 11:43:43,4.78
2019-12-02 11:44:17,5.41
2019-12-02 11:44:43,13.44
2019-12-02 11:44:47,5.3
2019-12-02 11:45:17,7.74
2019-12-02 12:08:50,12.0
2019-12-02 12:09:20,2.02
2019-12-02 12:10:19,1.77
2019-12-02 12:11:19,1.13
2019-12-02 12:11:49,4.91
2019-12-02 12:13:49,12.62
2019-12-02 12:14:19,12.63
2019-12-02 12:14:48,14.03
2019-12-02 12:35:09,8.62
2019-12-02 12:35:39,15.18
2019-12-02 12:36:09,11.71
2019-12-02 12:36:39,5.49
2019-12-02 12:37:08,3.49
2019-12-02 12:37:38,12.52
2019-12-02 12:54:51,7.65
2019-12-02 12:55:21,9.73
2019-12-02 12:55:50,3.11
2019-12-02 12:56:20,13.33
2019-12-02 12:56:50,11.88
2019-12-02 12:57:20,6.76
2019-12-02 12:57:49,12.71
2019-12-02 12:58:19,6.24
2019-12-02 12:58:49,5.01
2019-12-02 12:59:19,6.71
2019-12-02 13:01:18,2.35
2019-12-02 13:17:16,12.75
2019-12-02 13:17:46,7.12
2019-12-02 13:18:16,4.72
2019-12-02 13:18:45,5.81
2019-12-02 13:19:15,9.22
2019-12-02 13:19:45,1.18
2019-12-02 13:20:15,2.19
2019-12-02 13:20:44,12.34
2019-12-02 13:21:14,6.17
2019-12-02 13:21:44,9.13
2019-12-02 13:22:14,16.02
2019-12-02 13:22:44,14.06
2019-12-03 13:01:07,8.38
2019-12-03 13:01:07,8.58
2019-12-03 13:01:07,10.98
2019-12-03 13:01:07,5.26
2019-12-03 13:01:13,5.1
2019-12-03 13:01:13,10.31
2019-12-03 13:01:13,4.48
2019-12-03 13:01:21,3.64
2019-12-03 13:01:21,4.8
2019-12-03 13:01:21,10.37
2019-12-03 13:01:21,9.0
2019-12-03 13:01:21,1.46
2019-12-03 13:07:54,6.52
2019-12-03 13:08:54,2.89
2019-12-03 13:09:25,6.0
2019-12-03 13:09:53,7.12
2019-12-03 13:10:23,6.49
2019-12-03 13:11:52,3.47
2019-12-03 13:12:22,8.66
2019-12-03 13:12:52,4.01
2019-12-03 13:13:22,3.45
2019-12-03 13:13:52,1.32
2019-12-03 13:14:21,6.09
2019-12-03 13:14:51,6.01
2019-12-03 13:15:25,12.71
2019-12-03 13:15:52,10.61
2019-12-03 13:46:17,13.48
2019-12-03 14:01:06,14.34
2019-12-03 14:02:06,13.98
2019-12-03 14:02:36,8.21
2019-12-03 14:03:06,10.61
2019-12-03 14:03:35,8.43
2019-12-03 14:04:06,7.01
2019-12-04 11:09:07,1.64
2019-12-04 11:09:37,16.91
2019-12-04 11:10:06,4.87
2019-12-04 11:10:36,3.54
2019-12-04 11:11:06,5.71
2019-12-04 11:11:36,15.83
2019-12-04 11:12:06,16.08
2019-12-04 11:54:29,5.89
2019-12-04 11:54:46,3.24
2019-12-04 11:55:17,10.67
2019-12-04 11:55:46,14.46
2019-12-04 11:56:15,11.09
2019-12-04 11:56:45,12.36
2019-12-04 11:57:15,1.26
2019-12-04 12:16:34,9.8
2019-12-04 12:17:04,8.42
2019-12-04 12:17:33,11.57
2019-12-04 12:20:32,4.37
2019-12-04 12:24:00,6.56
2019-12-04 12:24:30,9.88
2019-12-04 12:25:00,9.02
2019-12-04 12:25:30,2.78
2019-12-04 12:25:59,2.1
2019-12-04 12:26:29,7.48
2019-12-04 12:26:59,10.0
2019-12-04 12:27:29,8.71
2019-12-04 12:27:59,6.32
2019-12-04 12:28:29,6.88
2019-12-04 13:07:05,8.93
2019-12-04 13:07:29,6.74
2019-12-04 13:07:59,5.76
2019-12-04 13:08:28,1.32
2019-12-04 13:08:58,5.46
2019-12-04 13:09:29,13.06
2019-12-04 13:09:58,5.3
2019-12-04 13:10:28,7.96
2019-12-04 13:10:58,7.45
2019-12-04 13:11:27,9.55
2019-12-04 13:11:57,14.77
2019-12-04 13:12:56,11.78
2019-12-04 13:43:12,2.3
2019-12-04 13:43:42,5.37
2019-12-04 14:42:47,17.9
2019-12-04 14:43:07,8.38
2019-12-04 15:48:32,17.55
2019-12-05 11:02:29,9.96
2019-12-05 11:02:43,2.47
2019-12-05 11:03:13,11.61
2019-12-05 11:03:45,12.61
2019-12-05 11:04:12,13.63
2019-12-05 11:04:42,11.82
2019-12-05 11:05:12,2.27
2019-12-05 11:17:06,3.24
2019-12-05 11:25:08,5.29
2019-12-05 11:33:44,11.34
2019-12-05 11:34:13,5.73
2019-12-05 11:34:42,1.23
2019-12-05 11:35:12,10.56
2019-12-05 12:08:19,8.21
2019-12-05 12:08:49,12.76
2019-12-05 12:09:19,14.23
2019-12-05 12:12:04,3.03
2019-12-05 12:13:03,9.95
2019-12-05 12:13:33,5.84
2019-12-05 12:14:03,6.31
2019-12-05 12:14:32,4.99
2019-12-05 12:15:02,12.06
2019-12-05 12:16:02,9.44
2019-12-05 12:16:32,9.91
2019-12-05 12:17:01,13.42
2019-12-05 12:17:31,14.4
2019-12-05 12:18:01,3.46
2019-12-05 12:58:54,3.08
2019-12-05 12:59:23,4.31
2019-12-05 12:59:56,8.13
2019-12-05 13:00:23,11.0
2019-12-05 13:00:53,6.85
2019-12-05 13:01:22,9.39
2019-12-05 13:01:52,11.46
2019-12-05 13:02:22,8.46
2019-12-05 13:02:52,9.78
2019-12-05 13:03:18,10.37
2019-12-05 13:03:21,1.61
2019-12-05 13:03:49,1.38
2019-12-05 13:03:51,7.17
2019-12-05 13:04:21,3.74
2019-12-05 13:04:48,1.61
2019-12-05 13:04:51,13.19
2019-12-05 13:05:17,6.11
2019-12-05 13:05:47,12.58
2019-12-05 13:06:17,7.75
2019-12-05 13:06:47,11.91
2019-12-05 13:07:17,10.56
2019-12-05 13:07:46,13.42
