datetime,speed
2019-12-01 06:07:33,11.35
2019-12-01 06:33:05,1.55
2019-12-01 06:33:35,9.07
2019-12-01 06:42:44,16.89
2019-12-01 07:00:07,4.8
2019-12-01 07:00:36,14.33
2019-12-01 07:01:40,16.08
2019-12-01 07:27:10,15.05
2019-12-01 07:27:39,6.75
2019-12-01 07:28:11,15.14
2019-12-01 07:28:39,8.22
2019-12-01 07:29:10,11.75
2019-12-01 07:29:11,3.27
2019-12-01 07:29:39,13.78
2019-12-01 07:30:08,2.64
2019-12-02 06:08:32,16.17
2019-12-02 06:09:02,2.99
2019-12-02 06:13:40,6.14
2019-12-02 07:27:23,2.17
2019-12-02 07:27:54,6.7
2019-12-02 07:28:23,6.09
2019-12-02 07:28:53,3.04
2019-12-02 07:29:22,8.12
2019-12-02 07:29:52,10.15
2019-12-02 07:30:22,4.39
2019-12-02 07:30:52,11.41
2019-12-02 07:31:22,9.48
2019-12-02 07:31:51,8.79
2019-12-02 07:32:21,14.67
2019-12-02 07:39:03,18.29
2019-12-02 07:39:32,7.52
2019-12-02 07:39:34,9.85
2019-12-02 07:39:35,11.37
2019-12-02 07:39:35,8.64
2019-12-02 07:39:37,5.53
2019-12-02 07:39:38,7.29
2019-12-02 07:48:55,9.44
2019-12-02 07:49:19,11.33
2019-12-03 06:07:36,4.96
2019-12-03 06:17:24,13.69
2019-12-03 06:30:11,2.37
2019-12-03 06:30:40,4.73
2019-12-03 06:32:22,8.66
2019-12-03 06:32:52,13.52
2019-12-03 06:40:20,14.1
2019-12-03 06:49:08,5.19
2019-12-03 06:49:37,11.52
2019-12-03 06:50:07,11.44
2019-12-03 06:50:37,17.97
2019-12-03 06:50:39,8.6
2019-12-03 06:50:58,13.88
2019-12-03 06:51:18,10.61
2019-12-03 06:51:37,7.99
2019-12-03 06:51:57,2.07
2019-12-03 06:52:17,8.17
2019-12-03 06:52:36,14.55
2019-12-03 06:52:55,5.13
2019-12-03 06:54:41,12.53
2019-12-03 06:54:55,10.43
2019-12-03 06:55:25,10.08
2019-12-03 06:55:55,11.95
2019-12-04 06:09:14,21.05
2019-12-04 06:27:29,4.93
2019-12-04 06:32:36,5.88
2019-12-04 07:07:20,11.63
2019-12-04 07:08:20,8.99
2019-12-04 07:08:49,8.96
2019-12-04 07:09:19,15.34
2019-12-05 06:00:01,12.28
2019-12-05 06:00:31,12.28
2019-12-05 06:01:00,12.28
2019-12-05 06:01:30,12.28
2019-12-05 06:25:02,14.09
2019-12-05 06:25:23,10.66
2019-12-05 06:25:41,8.12
2019-12-05 06:26:01,12.46
2019-12-05 06:53:20,13.0
2019-12-05 06:53:40,10.35
2019-12-05 06:53:59,13.47
2019-12-05 06:54:38,7.63
2019-12-05 06:54:57,10.14
2019-12-05 06:55:17,15.09
2019-12-05 06:55:36,8.45
2019-12-05 06:55:55,11.46
2019-12-05 07:15:20,12.28
2019-12-05 07:25:40,12.28
2019-12-05 07:25:41,12.28
2019-12-05 07:25:42,12.28
2019-12-05 07:25:43,12.28
2019-12-05 07:25:44,12.28
2019-12-05 07:26:04,12.28
2019-12-06 06:00:19,12.84
2019-12-06 06:03:48,3.28
2019-12-06 06:21:34,15.09
2019-12-06 06:29:57,9.15
2019-12-06 06:30:20,5.89
2019-12-06 06:30:27,10.2
2019-12-06 06:30:50,9.23
2019-12-06 06:30:57,11.85
2019-12-06 06:31:19,10.56
2019-12-06 06:31:27,10.01
2019-12-06 06:31:49,12.7
2019-12-06 06:32:05,5.81
2019-12-06 06:32:19,15.29
2019-12-06 06:32:52,10.69
2019-12-06 06:33:22,10.67
2019-12-06 06:33:49,15.74
2019-12-06 06:41:00,12.41
2019-12-06 06:41:59,14.5
2019-12-06 06:44:35,4.78
2019-12-06 06:46:31,5.88
2019-12-06 07:03:34,11.64
2019-12-06 07:06:23,10.58
2019-12-06 07:17:55,10.2
2019-12-06 07:18:10,9.45
2019-12-06 07:33:41,9.36
2019-12-06 07:56:01,9.22
2019-12-06 07:56:31,7.13
2019-12-08 06:14:17,6.18
2019-12-09 06:15:25,8.51
2019-12-09 06:16:54,9.65
2019-12-09 06:17:23,13.77
2019-12-09 06:17:52,3.43
2019-12-09 06:18:22,4.52
2019-12-09 06:18:52,6.11
2019-12-09 06:19:23,14.9
2019-12-09 07:00:26,8.19
2019-12-09 07:00:56,3.05
2019-12-09 07:01:25,2.98
2019-12-09 07:34:49,3.08
2019-12-10 06:18:04,12.73
2019-12-10 06:18:33,11.07
2019-12-10 06:19:03,3.35
2019-12-10 06:19:33,9.87
2019-12-10 06:20:10,12.56
2019-12-10 06:20:33,14.34
2019-12-10 06:20:50,1.37
2019-12-10 06:21:03,14.39
2019-12-10 06:21:33,7.25
2019-12-10 07:21:56,12.04
2019-12-10 07:22:20,9.93
2019-12-10 07:22:50,5.49
2019-12-10 07:36:14,14.73
2019-12-10 07:36:46,13.8
2019-12-10 07:37:14,17.42
2019-12-11 06:01:13,8.56
2019-12-11 06:27:35,13.14
2019-12-11 06:44:59,8.73
2019-12-11 06:45:25,6.07
2019-12-11 07:03:16,15.78
2019-12-11 07:03:45,5.66
2019-12-11 07:04:14,9.95
2019-12-11 07:05:13,9.31
2019-12-11 07:05:43,17.93
2019-12-11 07:06:13,2.93
