datetime,speed
2019-12-01 08:42:08,14.56
2019-12-01 08:42:39,14.49
2019-12-01 08:43:07,9.05
2019-12-01 08:43:37,10.73
2019-12-01 08:44:06,8.54
2019-12-01 08:44:36,14.03
2019-12-01 08:45:36,5.36
2019-12-01 10:06:03,5.8
2019-12-01 10:09:32,9.57
2019-12-01 10:10:03,9.53
2019-12-01 10:10:31,9.17
2019-12-01 10:11:01,5.14
2019-12-01 10:28:32,9.91
2019-12-01 10:29:02,8.67
2019-12-01 10:30:18,1.28
2019-12-01 10:30:31,14.15
2019-12-01 10:30:40,12.25
2019-12-01 10:31:01,13.66
2019-12-01 10:31:09,5.26
2019-12-01 10:31:33,2.65
2019-12-01 10:32:00,10.03
2019-12-01 10:32:30,10.37
2019-12-01 10:32:51,5.47
2019-12-01 10:33:00,12.18
2019-12-01 10:33:30,10.83
2019-12-01 10:40:02,1.89
2019-12-02 08:41:44,9.7
2019-12-02 08:43:25,3.75
2019-12-02 08:43:39,11.8
2019-12-02 08:43:40,17.32
2019-12-02 08:43:47,9.77
2019-12-02 08:43:55,14.19
2019-12-02 08:44:25,8.91
2019-12-02 09:23:08,6.37
2019-12-02 09:23:38,2.67
2019-12-02 09:23:58,5.27
2019-12-02 09:24:08,7.69
2019-12-02 09:25:07,8.38
2019-12-02 09:25:37,5.56
2019-12-02 09:27:06,15.57
2019-12-02 09:27:36,9.43
2019-12-02 09:28:06,6.43
2019-12-02 09:28:36,15.72
2019-12-02 09:30:05,11.26
2019-12-02 09:41:23,11.38
2019-12-02 09:42:23,11.8
2019-12-02 09:42:52,3.85
2019-12-02 09:43:22,3.05
2019-12-02 09:43:52,2.84
2019-12-02 09:44:23,2.77
2019-12-02 09:44:25,7.09
2019-12-02 09:44:40,7.56
2019-12-02 09:44:52,8.93
2019-12-02 09:45:10,1.22
2019-12-02 09:45:44,2.73
2019-12-02 09:46:10,3.55
2019-12-02 09:46:39,9.38
2019-12-02 09:54:54,6.08
2019-12-02 09:55:00,2.09
2019-12-02 09:55:30,18.14
2019-12-02 09:55:59,14.68
2019-12-02 09:57:53,3.51
2019-12-02 09:58:28,1.57
2019-12-02 09:58:58,2.76
2019-12-02 09:59:20,5.79
2019-12-02 09:59:28,1.81
2019-12-02 09:59:57,6.12
2019-12-02 09:59:58,4.71
2019-12-02 10:00:19,7.34
2019-12-02 10:00:27,9.42
2019-12-02 10:00:49,3.21
2019-12-02 10:00:57,1.46
2019-12-02 10:00:57,1.45
2019-12-02 10:01:27,1.15
2019-12-02 10:01:56,6.49
2019-12-02 10:01:57,2.83
2019-12-02 10:02:18,1.71
2019-12-02 10:02:26,6.83
2019-12-02 10:02:27,1.96
2019-12-02 10:02:48,2.91
2019-12-02 10:02:55,3.19
2019-12-02 10:03:18,3.28
2019-12-02 10:03:48,5.72
2019-12-02 10:03:57,6.82
2019-12-02 10:04:25,5.14
2019-12-02 10:04:47,3.31
2019-12-02 10:04:55,2.47
2019-12-02 10:05:24,6.3
2019-12-02 10:05:47,8.79
2019-12-02 10:06:17,17.76
2019-12-02 10:06:24,3.67
2019-12-02 10:06:48,14.42
2019-12-02 10:07:46,7.9
2019-12-02 10:11:22,1.41
2019-12-02 10:26:17,1.9
2019-12-03 08:31:10,1.83
2019-12-03 08:37:22,10.4
2019-12-03 09:02:54,6.93
2019-12-03 09:03:24,5.61
2019-12-03 09:03:54,1.5
2019-12-04 08:03:01,9.01
2019-12-04 08:03:31,13.07
2019-12-04 08:04:00,11.83
2019-12-04 08:04:30,9.6
2019-12-04 08:04:59,8.68
2019-12-04 08:05:29,12.97
2019-12-04 08:05:59,13.04
2019-12-04 08:06:29,12.2
2019-12-04 08:11:27,2.67
2019-12-04 08:18:29,14.73
2019-12-04 08:37:22,12.12
2019-12-04 08:37:53,7.08
2019-12-04 08:38:22,15.95
2019-12-04 08:40:20,14.76
2019-12-04 08:41:50,11.4
2019-12-04 08:42:20,2.5
2019-12-04 08:43:20,15.36
2019-12-04 09:27:30,8.97
2019-12-04 09:28:32,6.47
2019-12-04 09:28:59,3.67
2019-12-04 09:29:28,11.97
2019-12-04 09:29:58,1.98
2019-12-04 09:30:28,13.12
2019-12-04 09:31:03,9.03
2019-12-04 09:43:10,10.79
2019-12-04 09:43:40,10.71
2019-12-04 09:44:09,8.76
2019-12-04 09:44:39,1.14
2019-12-04 09:44:40,1.25
2019-12-04 09:44:44,7.71
2019-12-04 09:45:39,10.46
2019-12-04 09:46:10,14.2
2019-12-04 09:46:39,7.78
2019-12-04 09:51:53,2.19
2019-12-04 09:59:23,13.1
2019-12-04 10:00:36,13.03
2019-12-04 10:00:50,5.99
2019-12-04 10:01:19,11.32
2019-12-04 10:01:49,4.98
2019-12-04 10:02:49,5.15
2019-12-04 10:03:19,3.35
2019-12-04 10:03:50,11.34
2019-12-04 10:03:51,3.85
2019-12-04 10:04:48,4.13
2019-12-04 10:05:18,2.68
2019-12-04 10:05:23,13.72
2019-12-04 10:06:47,5.92
2019-12-04 10:07:18,9.95
2019-12-04 10:08:17,1.28
2019-12-04 10:08:46,11.52
2019-12-04 10:09:35,13.57
2019-12-04 10:10:16,3.3
2019-12-04 10:10:28,1.08
2019-12-04 10:13:00,2.64
2019-12-04 10:38:50,14.59
2019-12-04 10:49:26,18.86
2019-12-05 08:27:28,9.64
2019-12-05 08:27:47,10.05
2019-12-05 08:28:06,9.04
2019-12-05 08:28:26,7.22
2019-12-05 08:28:45,4.41
2019-12-05 08:29:05,12.03
2019-12-05 08:29:24,8.7
2019-12-05 08:29:43,17.48
2019-12-05 08:33:34,12.71
2019-12-05 08:34:33,6.85
2019-12-05 08:35:03,2.38
2019-12-05 08:35:33,11.89
2019-12-05 08:36:03,11.23
2019-12-05 08:52:01,4.92
2019-12-05 08:56:38,11.59
2019-12-05 08:57:05,7.28
2019-12-05 08:57:31,7.54
2019-12-05 08:58:01,8.37
2019-12-05 08:58:31,9.0
2019-12-05 08:59:01,1.55
2019-12-05 08:59:30,5.13
2019-12-05 09:00:00,9.11
2019-12-05 09:00:30,2.96
2019-12-05 09:01:00,11.13
2019-12-05 09:02:08,15.14
2019-12-05 09:02:27,4.11
2019-12-05 09:02:47,7.31
2019-12-05 09:03:06,11.43
2019-12-05 09:03:21,2.95
2019-12-05 09:03:45,13.67
2019-12-05 09:03:52,10.31
2019-12-05 09:04:04,13.99
2019-12-05 09:04:21,9.73
2019-12-05 09:04:24,14.59
2019-12-05 09:04:43,10.34
2019-12-05 09:04:51,7.68
2019-12-05 09:05:03,4.45
2019-12-05 09:21:21,12.28
2019-12-05 09:21:45,12.28
2019-12-05 09:22:15,12.28
2019-12-05 09:22:45,12.28
2019-12-05 09:26:30,11.31
2019-12-05 09:26:49,5.96
2019-12-05 09:27:08,10.84
2019-12-05 09:27:28,13.15
2019-12-05 09:27:47,6.65
2019-12-05 09:28:06,13.09
2019-12-05 09:28:07,7.62
2019-12-05 09:28:26,5.09
2019-12-05 09:28:38,13.49
2019-12-05 09:29:07,11.78
2019-12-05 09:29:37,16.4
2019-12-05 09:29:44,8.96
2019-12-05 09:30:06,8.53
2019-12-05 09:30:36,10.45
2019-12-05 09:31:06,11.12
2019-12-05 09:31:36,9.14
2019-12-05 09:43:36,8.39
2019-12-05 09:43:54,11.98
2019-12-05 09:44:24,6.76
2019-12-05 09:44:54,9.5
2019-12-05 09:45:24,4.8
2019-12-05 09:45:54,11.12
2019-12-05 09:47:23,13.37
2019-12-05 09:48:30,15.07
2019-12-05 09:52:09,2.51
2019-12-05 09:52:39,2.81
2019-12-05 09:56:31,8.54
2019-12-05 09:56:51,2.2
2019-12-05 09:56:53,18.82
2019-12-05 09:57:20,1.16
2019-12-05 09:57:22,7.68
2019-12-05 09:58:20,3.77
2019-12-05 09:58:50,3.16
2019-12-05 09:58:52,11.1
2019-12-05 09:59:20,3.75
2019-12-05 09:59:21,2.95
2019-12-05 09:59:49,6.9
2019-12-05 09:59:51,4.39
2019-12-05 10:00:20,1.1
2019-12-05 10:00:49,2.63
2019-12-05 10:00:51,9.44
2019-12-05 10:01:20,9.34
2019-12-05 10:02:48,6.89
2019-12-05 10:03:18,11.18
