datetime,speed
2019-12-01 11:09:58,6.8
2019-12-01 11:10:28,10.15
2019-12-01 12:10:36,11.81
2019-12-01 12:10:37,9.08
2019-12-02 11:39:49,14.78
2019-12-02 11:40:19,4.18
2019-12-02 12:49:23,6.97
2019-12-02 12:49:53,10.7
2019-12-02 13:23:43,14.31
2019-12-02 13:55:06,1.99
2019-12-03 13:03:11,11.45
2019-12-03 13:03:11,12.95
2019-12-03 13:03:11,6.49
2019-12-03 13:16:50,17.38
2019-12-03 13:17:22,8.19
2019-12-04 11:52:01,5.16
2019-12-04 11:52:32,3.25
2019-12-04 11:53:09,8.17
2019-12-04 12:37:47,10.72
2019-12-04 13:02:06,13.03
2019-12-04 13:02:21,3.21
2019-12-04 13:13:56,14.98
2019-12-05 11:33:57,15.82
2019-12-05 11:34:15,10.69
2019-12-05 12:45:34,19.37
2019-12-05 12:46:58,10.82
2019-12-05 12:47:28,5.58
2019-12-05 12:47:58,2.04
2019-12-06 13:10:28,7.26
2019-12-06 13:10:56,11.33
2019-12-06 13:34:39,18.38
2019-12-06 15:49:59,16.66
2019-12-07 11:34:12,9.68
2019-12-07 11:36:45,2.47
2019-12-08 11:43:24,15.15
2019-12-08 12:34:09,7.59
2019-12-08 12:52:16,16.48
2019-12-09 11:51:40,9.08
2019-12-09 11:52:44,1.45
2019-12-09 12:21:00,6.96
2019-12-09 12:21:30,14.14
2019-12-09 12:21:59,2.77
2019-12-09 12:41:15,5.63
2019-12-09 12:41:42,2.8
2019-12-09 12:42:12,5.35
2019-12-09 13:14:19,7.46
2019-12-09 13:14:43,15.66
2019-12-10 12:12:21,12.79
2019-12-10 13:10:22,10.92
2019-12-10 13:10:46,14.52
2019-12-11 11:03:20,2.0
2019-12-11 11:04:49,1.28
2019-12-11 11:05:48,9.39
2019-12-11 11:05:49,2.23
2019-12-11 11:06:18,2.02
2019-12-11 11:07:48,2.27
2019-12-11 13:17:20,11.0
2019-12-11 13:17:50,3.36
2019-12-11 13:51:56,15.51
2019-12-11 13:52:27,11.49
2019-12-12 11:17:52,13.55
2019-12-12 12:07:54,15.97
2019-12-12 12:08:19,3.06
2019-12-12 13:14:14,9.11
2019-12-12 13:14:15,8.09
2019-12-13 13:26:41,13.19
2019-12-13 13:44:10,9.6
2019-12-13 14:05:10,15.42
2019-12-13 14:44:47,21.08
2019-12-13 15:06:37,21.11
2019-12-13 15:11:30,15.23
2019-12-15 13:34:12,12.66
2019-12-15 15:31:57,14.53
2019-12-15 15:38:48,26.45
2019-12-16 11:09:23,10.93
2019-12-16 11:09:53,12.72
2019-12-16 11:56:18,14.73
2019-12-16 11:56:50,10.45
2019-12-16 12:26:26,6.66
2019-12-16 12:38:50,7.35
2019-12-16 12:39:20,16.09
2019-12-16 13:59:30,15.94
2019-12-16 14:00:00,9.46
2019-12-16 14:22:02,15.05
2019-12-16 14:22:22,18.6
2019-12-16 15:38:46,12.94
2019-12-16 15:46:37,19.44
2019-12-17 11:40:42,12.77
2019-12-17 11:41:12,12.29
2019-12-17 12:13:38,16.24
2019-12-17 14:59:47,17.05
2019-12-18 12:27:30,15.62
2019-12-19 11:47:24,10.23
2019-12-19 12:36:00,10.51
2019-12-19 12:36:30,11.17
2019-12-19 15:56:45,22.11
2019-12-20 11:44:20,15.55
2019-12-21 14:27:10,19.37
2019-12-22 12:07:38,12.56
2019-12-22 12:09:37,1.12
2019-12-22 12:21:37,11.33
2019-12-23 12:39:31,14.08
2019-12-23 12:51:18,14.77
2019-12-23 12:51:47,13.23
2019-12-23 14:29:07,19.77
2019-12-23 14:59:43,15.1
2019-12-24 12:33:19,14.24
2019-12-25 12:06:56,14.02
2019-12-25 12:07:20,9.56
2019-12-25 12:07:50,4.49
2019-12-25 14:04:14,11.8
2019-12-25 14:04:30,10.42
2019-12-26 11:32:56,14.39
2019-12-26 11:35:27,1.68
2019-12-26 14:07:09,20.97
2019-12-26 14:27:14,22.4
2019-12-27 12:10:33,18.62
2019-12-27 13:20:38,4.85961
2019-12-27 13:53:44,12.15
2019-12-27 13:54:14,8.41
2019-12-27 15:23:29,16.82
2019-12-28 13:50:30,20.98
2019-12-28 13:53:41,19.56
2019-12-28 15:53:36,17.88
2019-12-29 11:09:59,3.24
2019-12-29 11:35:02,12.35
2019-12-29 11:35:32,8.4
2019-12-29 12:14:20,8.63
2019-12-29 12:16:51,1.75
2019-12-30 12:37:09,12.28
2019-12-30 12:37:38,14.65
2019-12-30 13:43:44,14.49
2019-12-30 15:06:21,23.6
2019-12-31 11:15:27,11.48
2019-12-31 11:15:57,9.24
2019-12-31 12:29:15,14.68
