datetime,speed
2019-12-02 16:32:20,11.45
2019-12-02 16:32:52,16.91
2019-12-03 16:29:37,20.47
2019-12-04 16:28:55,18.03
2019-12-04 16:29:24,15.3
2019-12-05 16:31:17,20.34
2019-12-06 16:32:42,18.32
2019-12-08 16:11:16,19.03
2019-12-09 16:30:17,17.13
2019-12-10 16:30:12,18.06
2019-12-11 16:31:07,20.13
2019-12-12 16:31:33,19.46
2019-12-13 16:29:08,16.77
2019-12-13 16:30:06,18.27
2019-12-16 16:00:29,18.29
2019-12-16 16:00:47,12.27
2019-12-16 16:08:51,22.73
2019-12-16 16:33:36,16.82
2019-12-17 16:32:16,16.61
2019-12-18 16:30:01,18.93
2019-12-19 16:31:45,19.08
2019-12-19 17:04:49,28.3
2019-12-20 16:30:56,18.42
2019-12-23 16:32:30,17.95
2019-12-24 16:31:34,19.37
2019-12-25 16:30:34,16.04
2019-12-26 16:29:43,19.97
2019-12-30 16:30:43,23.83
2019-12-31 16:31:53,22.12
