datetime,speed
2019-12-01 07:01:10,17.24
2019-12-01 07:39:37,6.29
2019-12-01 07:40:02,12.77
2019-12-01 07:40:40,19.57
2019-12-02 07:39:27,13.23
2019-12-02 07:44:01,10.24
2019-12-02 07:59:57,22.05
2019-12-03 06:47:44,1.68
2019-12-03 07:29:47,9.76
2019-12-03 07:35:04,9.33
2019-12-03 07:35:26,13.37
2019-12-03 07:35:43,8.1
2019-12-04 07:34:17,10.22
2019-12-04 07:48:22,4.77
2019-12-04 07:48:41,1.46
2019-12-04 07:49:00,11.37
2019-12-04 07:49:24,12.23
2019-12-05 07:30:56,15.75
2019-12-05 07:41:33,16.68
2019-12-05 07:41:58,10.18
2019-12-06 06:05:17,12.55
2019-12-06 06:32:56,14.21
2019-12-06 06:42:59,16.75
2019-12-06 07:17:17,14.49
2019-12-06 07:49:42,6.37
2019-12-06 07:50:01,14.8
2019-12-06 07:50:22,4.94
2019-12-07 07:43:11,14.5
2019-12-08 06:32:39,14.41
2019-12-08 07:26:31,7.93
2019-12-08 07:27:01,13.01
2019-12-08 07:27:33,1.08
2019-12-08 07:38:33,11.52
2019-12-09 07:34:43,20.02
2019-12-09 07:46:11,12.84
2019-12-09 07:46:47,13.61
2019-12-10 07:51:24,15.8
2019-12-11 06:33:14,11.91
2019-12-11 06:52:47,15.01
2019-12-11 06:53:18,2.67
2019-12-11 06:53:47,1.79
2019-12-11 07:15:11,15.97
2019-12-11 07:15:45,6.48
2019-12-11 07:16:07,2.69
2019-12-11 07:16:37,1.04
2019-12-11 07:17:07,1.02
2019-12-11 07:40:47,8.27
2019-12-12 07:26:38,8.42
2019-12-13 06:46:19,15.59
2019-12-13 07:21:54,9.91
2019-12-13 07:22:14,15.77
2019-12-13 07:50:52,16.87
2019-12-13 07:51:14,17.98
2019-12-14 06:54:59,18.46
2019-12-14 07:27:00,12.72
2019-12-15 07:00:37,11.34
2019-12-15 07:01:15,8.33
2019-12-15 07:05:53,13.89
2019-12-15 07:29:29,19.41
2019-12-16 06:27:32,15.8
2019-12-16 06:28:02,1.0
2019-12-16 07:30:18,10.38
2019-12-16 07:30:43,11.18
2019-12-17 07:10:37,11.9
2019-12-17 07:27:47,14.87
2019-12-18 07:24:44,14.42
2019-12-18 07:25:08,12.78
2019-12-18 07:25:38,1.87
2019-12-19 07:22:34,11.04
2019-12-19 07:22:54,13.97
2019-12-20 07:16:46,8.41
2019-12-20 07:17:21,9.6
2019-12-20 07:17:47,8.56
2019-12-20 07:22:46,3.78
2019-12-20 07:23:22,12.34
2019-12-20 07:23:46,1.09
2019-12-20 07:24:27,8.21
2019-12-20 07:24:57,17.85
2019-12-21 06:33:21,12.73
2019-12-21 07:20:48,12.21
2019-12-21 07:21:17,6.6
2019-12-22 06:00:23,1.58
2019-12-22 07:28:03,8.86
2019-12-22 07:30:42,3.05
2019-12-23 06:01:47,5.29
2019-12-23 07:12:02,18.6311
2019-12-23 07:12:03,13.3042
2019-12-23 07:30:19,13.02
2019-12-23 07:30:51,10.21
2019-12-24 06:11:54,19.6
2019-12-24 06:40:46,20.72
2019-12-24 07:27:06,13.66
2019-12-24 07:27:35,12.17
2019-12-25 06:47:45,18.0
2019-12-25 07:28:14,8.32
2019-12-26 07:24:31,16.43
2019-12-27 06:29:17,18.59
2019-12-27 07:29:18,20.58
2019-12-27 07:29:51,6.01
2019-12-27 07:57:28,14.36
2019-12-27 07:58:00,1.25
2019-12-27 07:59:29,15.95
2019-12-27 07:59:59,4.75
2019-12-28 06:23:42,16.37
2019-12-28 07:46:46,12.69
2019-12-29 06:07:35,10.94
2019-12-29 06:08:05,14.92
2019-12-29 06:17:07,12.55
2019-12-29 06:30:06,19.35
2019-12-29 06:37:41,14.98
2019-12-29 06:53:40,13.26
2019-12-29 06:54:20,9.89
2019-12-29 07:02:01,12.14
2019-12-30 06:24:50,3.39
2019-12-30 06:25:19,5.52
2019-12-30 06:33:48,17.09
2019-12-30 07:02:55,22.08
2019-12-31 06:11:33,18.27
2019-12-31 06:12:03,1.63
2019-12-31 06:12:34,1.67
2019-12-31 06:21:55,4.15
2019-12-31 06:22:29,11.59
2019-12-31 06:25:29,2.31
2019-12-31 07:30:34,19.05
