datetime,speed
2019-12-01 09:32:40,13.12
2019-12-01 09:33:10,11.34
2019-12-01 10:35:00,15.76
2019-12-02 09:17:50,8.72
2019-12-02 09:22:18,1.88
2019-12-02 09:27:49,16.16
2019-12-02 09:50:14,9.35
2019-12-02 09:50:37,5.86
2019-12-02 09:51:07,4.02
2019-12-02 10:37:06,11.94
2019-12-02 10:38:39,1.04
2019-12-02 10:39:05,5.7
2019-12-03 09:17:41,13.05
2019-12-03 09:18:11,12.69
2019-12-04 09:34:57,14.46
2019-12-04 09:35:56,1.8
2019-12-04 10:39:17,8.98
2019-12-04 10:40:05,6.75
2019-12-04 10:40:35,11.71
2019-12-05 08:24:14,7.2
2019-12-05 08:24:42,5.55
2019-12-05 08:26:00,7.66
2019-12-05 08:26:46,3.13
2019-12-05 08:50:05,10.66
2019-12-05 08:50:35,8.13
2019-12-05 09:36:04,19.12
2019-12-05 10:36:20,14.15
2019-12-05 10:36:50,3.91
2019-12-05 10:37:19,6.96
2019-12-05 10:49:16,1.97
2019-12-05 10:49:46,1.67
2019-12-06 08:25:35,14.13
2019-12-06 08:26:04,3.41
2019-12-06 08:26:59,15.52
2019-12-06 09:46:20,4.35
2019-12-06 10:05:05,4.36
2019-12-06 10:48:11,9.08
2019-12-06 10:48:41,3.35
2019-12-06 10:49:10,3.2
2019-12-06 10:54:09,2.47
2019-12-06 10:54:38,1.08
2019-12-06 10:55:38,1.71
2019-12-06 10:56:38,2.94
2019-12-07 08:16:46,19.64
2019-12-07 08:17:07,11.46
2019-12-08 09:12:01,13.91
2019-12-08 09:12:30,10.54
2019-12-08 10:35:55,11.6
2019-12-08 10:36:59,5.66
2019-12-08 10:37:25,2.66
2019-12-08 10:37:55,1.01
2019-12-09 08:04:17,13.29
2019-12-09 08:04:43,2.19
2019-12-09 08:43:54,1.59
2019-12-09 08:44:31,4.3
2019-12-09 09:16:48,16.24
2019-12-09 09:17:20,10.0
2019-12-09 09:39:07,15.69
2019-12-09 09:40:07,4.07
2019-12-09 10:39:15,2.17
2019-12-09 10:39:45,10.2
2019-12-10 10:17:17,3.6
2019-12-11 09:10:28,14.82
2019-12-11 09:10:57,1.9
2019-12-11 10:00:21,13.77
2019-12-11 10:00:41,14.29
2019-12-11 10:42:59,16.37
