datetime,speed
2019-12-01 11:02:43,11.14
2019-12-01 11:11:39,16.85
2019-12-01 11:18:06,19.6
2019-12-01 11:18:37,13.67
2019-12-01 11:41:03,10.7991
2019-12-01 11:41:33,4.85961
2019-12-01 11:43:35,7.5594
2019-12-01 11:45:12,4.31966
2019-12-01 11:45:12,7.5594
2019-12-01 11:48:56,9.41
2019-12-01 11:49:26,2.91
2019-12-01 11:49:56,7.58
2019-12-01 11:50:26,6.34
2019-12-01 11:51:05,6.04
2019-12-01 15:59:28,19.89
2019-12-02 11:19:23,11.08
2019-12-02 11:19:55,2.46
2019-12-02 11:20:53,8.07
2019-12-02 11:21:23,1.02
2019-12-02 11:56:12,1.7
2019-12-02 12:09:32,10.93
2019-12-02 12:10:32,3.45
2019-12-02 12:11:02,6.43
2019-12-02 12:11:34,12.44
2019-12-02 12:22:13,4.9
2019-12-02 12:22:43,6.99
2019-12-02 12:23:12,1.18
2019-12-02 12:23:42,1.45
2019-12-02 12:24:42,1.34
2019-12-02 12:25:12,7.56
2019-12-02 12:25:41,1.12
2019-12-02 12:44:59,6.98
2019-12-02 12:45:29,6.6
2019-12-02 13:03:03,1.23
2019-12-02 13:05:54,4.4
2019-12-02 13:06:24,7.52
2019-12-02 13:06:54,13.02
2019-12-02 13:07:23,11.29
2019-12-02 13:16:53,12.36
2019-12-02 13:17:22,11.45
2019-12-02 13:17:52,12.83
2019-12-02 13:20:39,16.94
2019-12-02 13:21:09,14.78
2019-12-02 13:28:35,4.38
2019-12-02 13:36:57,13.3
2019-12-02 13:37:27,17.59
2019-12-02 13:38:46,15.98
2019-12-02 13:39:17,11.3
2019-12-02 13:56:24,7.13
2019-12-02 14:08:12,17.35
2019-12-02 14:11:10,20.22
2019-12-02 14:25:07,16.9
2019-12-02 14:25:36,21.58
2019-12-02 14:30:05,12.94
2019-12-02 14:30:32,15.23
2019-12-02 15:03:37,11.0
2019-12-02 15:04:07,5.73
2019-12-02 15:48:20,17.82
2019-12-03 13:00:32,1.18
2019-12-03 13:01:20,8.87
2019-12-03 13:01:33,5.59
2019-12-03 13:01:33,6.51
2019-12-03 13:01:52,1.5
2019-12-03 13:01:52,6.99
2019-12-03 13:01:52,6.29
2019-12-03 13:12:05,14.4
2019-12-03 13:23:18,13.07
2019-12-03 13:23:47,8.76
2019-12-03 13:24:17,3.4
2019-12-03 13:36:22,16.16
2019-12-03 13:36:24,16.88
2019-12-03 13:36:42,3.42
2019-12-03 13:36:51,14.28
2019-12-03 13:39:19,10.93
2019-12-03 14:14:57,24.68
2019-12-03 14:15:27,7.57
2019-12-03 14:44:45,13.07
2019-12-03 14:45:14,13.82
2019-12-03 14:53:09,14.07
2019-12-03 14:58:46,15.02
2019-12-03 14:59:19,11.55
2019-12-03 15:02:37,24.07
2019-12-03 15:30:32,15.44
2019-12-03 15:31:11,9.4
2019-12-04 11:06:00,2.16
2019-12-04 11:06:30,8.62
2019-12-04 11:08:29,3.29
2019-12-04 11:17:28,14.98
2019-12-04 11:18:58,6.61
2019-12-04 11:19:27,4.61
2019-12-04 11:19:57,6.69
2019-12-04 11:37:59,10.68
2019-12-04 11:38:59,11.11
2019-12-04 11:39:28,2.32
2019-12-04 11:42:47,3.93
2019-12-04 11:43:16,2.57
2019-12-04 11:57:57,6.16
2019-12-04 11:58:27,9.52
2019-12-04 11:58:56,5.4
2019-12-04 12:00:26,8.43
