datetime,speed
2019-12-02 17:26:56,16.16
2019-12-02 17:27:31,17.84
2019-12-02 17:58:54,26.09
2019-12-02 17:59:40,22.17
2019-12-03 16:07:47,20.47
2019-12-03 16:55:36,15.25
2019-12-03 17:22:15,28.98
2019-12-04 17:24:31,29.87
2019-12-04 17:59:03,21.18
2019-12-05 16:02:34,15.45
2019-12-05 17:22:25,19.27
2019-12-06 17:24:31,21.03
2019-12-06 17:45:59,28.39
2019-12-08 16:36:05,24.94
2019-12-08 16:36:35,8.77
2019-12-08 16:37:05,4.72
2019-12-10 16:05:26,22.5
2019-12-10 16:05:58,21.17
2019-12-10 17:16:23,23.25
2019-12-10 17:16:54,22.97
2019-12-11 16:16:25,14.95
2019-12-11 16:16:56,23.5
2019-12-11 17:31:37,23.42
2019-12-11 17:32:06,19.72
2019-12-12 16:03:39,23.62
2019-12-12 16:04:11,20.52
2019-12-12 17:14:39,26.98
2019-12-12 17:28:03,15.16
2019-12-12 17:28:33,17.81
2019-12-13 16:05:09,23.66
2019-12-13 16:05:42,26.09
2019-12-13 16:11:24,1.36
2019-12-13 16:11:38,1.36
2019-12-13 16:12:07,1.36
2019-12-14 16:20:39,1.36
2019-12-14 16:21:00,1.36
2019-12-14 16:21:30,1.36
2019-12-14 16:22:00,1.36
2019-12-14 16:22:30,1.36
2019-12-14 16:22:59,1.36
2019-12-14 16:23:29,1.36
2019-12-14 16:23:59,1.36
2019-12-14 16:24:29,1.36
2019-12-14 16:24:59,1.36
2019-12-14 16:25:28,1.36
2019-12-14 16:25:58,1.36
2019-12-14 16:26:28,1.36
2019-12-14 16:26:59,1.36
2019-12-14 16:27:28,1.36
2019-12-14 16:27:57,1.36
2019-12-14 16:28:27,1.36
2019-12-14 16:28:57,1.36
2019-12-14 16:29:27,1.36
2019-12-14 16:29:57,1.36
2019-12-15 16:14:57,1.36
2019-12-15 16:15:13,1.36
2019-12-15 16:15:43,1.36
2019-12-15 16:16:13,1.36
2019-12-15 16:16:42,1.36
2019-12-15 16:17:12,1.36
2019-12-15 16:17:42,1.36
2019-12-15 16:18:14,1.36
2019-12-15 16:18:41,1.36
2019-12-15 16:19:11,1.36
2019-12-15 16:19:41,1.36
2019-12-15 16:20:11,1.36
2019-12-15 16:20:41,1.36
2019-12-16 16:04:10,18.1
2019-12-16 16:04:43,19.97
2019-12-16 16:15:15,20.36
2019-12-16 16:15:45,15.29
2019-12-16 16:25:25,19.99
2019-12-16 16:26:07,18.52
2019-12-16 16:35:07,16.41
2019-12-16 16:35:37,20.66
2019-12-17 16:01:34,22.81
2019-12-17 16:02:05,19.95
2019-12-17 17:27:14,25.63
2019-12-17 17:27:14,20.27
2019-12-18 16:21:42,20.01
2019-12-18 16:21:46,20.61
2019-12-18 17:19:31,24.14
2019-12-19 16:03:38,14.35
2019-12-19 16:04:09,19.62
2019-12-19 16:23:00,23.09
2019-12-19 16:23:30,20.42
2019-12-19 16:31:27,15.36
2019-12-19 16:31:56,18.19
2019-12-19 17:07:17,21.13
2019-12-19 17:28:05,17.24
2019-12-20 16:04:00,22.15
2019-12-20 16:08:41,13.65
2019-12-20 16:09:12,16.12
2019-12-20 16:26:33,10.69
2019-12-20 16:27:03,12.9
2019-12-20 16:27:34,13.29
2019-12-20 17:16:47,13.23
2019-12-23 16:04:13,17.48
2019-12-23 17:22:54,23.64
2019-12-23 17:46:40,16.74
2019-12-24 17:21:13,16.21
2019-12-24 17:21:43,13.45
2019-12-24 17:39:05,23.36
2019-12-24 17:39:35,22.98
2019-12-25 16:26:56,15.23
2019-12-25 16:27:25,18.63
2019-12-25 17:17:30,16.07
2019-12-25 17:18:00,13.68
2019-12-25 17:50:23,28.89
2019-12-26 17:15:31,12.96
2019-12-27 16:18:36,18.54
2019-12-27 16:19:20,11.88
2019-12-27 16:24:24,19.39
2019-12-27 16:33:30,15.22
2019-12-27 16:34:00,13.11
2019-12-27 17:04:07,12.36
2019-12-27 17:04:38,16.61
2019-12-27 17:23:39,13.53
2019-12-27 17:23:41,15.48
2019-12-27 17:54:08,17.02
2019-12-31 16:02:53,20.45
2019-12-31 16:21:45,18.51
2019-12-31 16:22:15,12.21
2019-12-31 17:29:15,17.5
2019-12-31 17:29:45,13.67
