datetime,speed
2019-12-01 06:08:57,10.7991
2019-12-01 06:09:27,11.3391
2019-12-01 06:09:57,8.09935
2019-12-01 06:40:35,14.55
2019-12-01 06:40:54,6.78
2019-12-01 06:44:00,10.01
2019-12-01 06:44:30,15.84
2019-12-01 06:45:00,14.86
2019-12-01 07:20:15,12.99
2019-12-01 07:20:16,15.37
2019-12-02 06:12:06,1.99
2019-12-02 06:12:36,1.7
2019-12-02 06:26:59,7.41
2019-12-02 06:27:28,10.93
2019-12-02 06:27:59,8.75
2019-12-02 06:33:02,11.0
2019-12-02 06:33:31,3.34
2019-12-02 06:34:35,1.37
2019-12-02 06:38:00,8.26
2019-12-02 06:38:25,13.02
2019-12-02 06:38:55,3.2
2019-12-02 06:39:25,2.22
2019-12-02 06:45:12,2.57
2019-12-02 06:45:14,1.54
2019-12-02 06:45:14,5.52
2019-12-02 06:45:32,1.6
2019-12-02 06:46:01,3.8
2019-12-02 07:00:30,8.52
2019-12-02 07:01:07,11.98
2019-12-02 07:01:30,2.1
2019-12-02 07:10:40,4.9
2019-12-02 07:12:09,6.85
2019-12-02 07:12:43,8.71
2019-12-02 07:15:08,1.12
2019-12-02 07:20:55,9.84
2019-12-02 07:21:25,4.29
2019-12-02 07:21:41,1.82
2019-12-02 07:22:14,12.13
2019-12-02 07:22:23,4.6
2019-12-02 07:22:48,4.19
2019-12-02 07:22:49,4.6
2019-12-02 07:34:59,1.58
2019-12-02 07:48:06,2.65
2019-12-03 06:01:45,7.6
2019-12-03 06:11:13,8.62
2019-12-03 06:11:23,15.91
2019-12-03 06:11:47,8.58
2019-12-03 06:11:54,1.81
2019-12-03 06:12:41,13.7
2019-12-03 06:12:53,10.44
2019-12-03 06:13:13,1.39
2019-12-03 06:13:23,2.85
2019-12-03 06:13:41,3.69
2019-12-03 06:15:54,12.7
2019-12-03 06:16:08,9.05
2019-12-03 06:16:38,5.7
2019-12-03 06:29:18,13.06
2019-12-03 06:29:48,5.66
2019-12-03 06:30:18,11.83
2019-12-03 06:35:16,17.01
2019-12-03 06:49:35,7.22
2019-12-03 06:50:05,8.0
2019-12-03 07:09:54,3.23
2019-12-03 07:10:24,13.85
2019-12-03 07:10:54,5.24
2019-12-03 07:11:28,6.58
2019-12-03 07:20:07,2.22
2019-12-03 07:25:42,1.73
2019-12-03 07:27:50,2.79
2019-12-03 07:28:20,8.6
2019-12-03 07:28:51,6.32
2019-12-03 07:29:20,4.2
2019-12-04 06:18:32,6.57
