datetime,speed
2019-12-01 08:12:12,1.83
2019-12-01 08:15:17,17.52
2019-12-01 08:27:04,5.05
2019-12-01 08:27:05,3.54
2019-12-01 08:27:06,5.95
2019-12-01 08:27:17,4.52
2019-12-01 08:29:01,8.94
2019-12-01 08:29:31,2.03
2019-12-01 08:30:01,9.2
2019-12-01 08:38:22,3.29
2019-12-01 08:47:00,14.68
2019-12-01 08:47:26,1.43
2019-12-01 08:47:55,2.8
2019-12-01 08:48:32,1.84
2019-12-01 08:48:55,7.0
2019-12-01 09:23:08,5.27
2019-12-01 09:23:37,1.28
2019-12-01 09:47:30,6.05
2019-12-01 10:12:14,7.51
2019-12-01 10:20:34,8.67
2019-12-01 10:21:43,17.22
2019-12-01 10:39:57,6.12
2019-12-01 10:40:28,2.76
2019-12-01 10:40:57,12.77
2019-12-01 10:41:27,1.06
2019-12-01 10:48:20,9.6
2019-12-01 10:48:50,8.84
2019-12-01 10:49:34,7.78
2019-12-02 08:09:49,1.38
2019-12-02 08:10:01,3.51
2019-12-02 08:41:27,5.77
2019-12-02 08:41:38,17.2
2019-12-02 08:42:08,11.56
2019-12-02 08:42:38,2.27
2019-12-02 08:43:08,2.55
2019-12-02 09:35:06,4.29
2019-12-02 09:36:06,9.39
2019-12-02 09:37:05,4.74
2019-12-02 09:55:04,10.05
2019-12-02 09:55:34,8.33
2019-12-02 10:42:39,11.92
2019-12-02 10:43:08,12.21
2019-12-02 10:49:23,19.12
2019-12-02 10:52:24,7.98
2019-12-02 10:55:38,5.78
2019-12-03 08:01:32,8.13
2019-12-03 08:02:02,5.85
2019-12-03 08:06:30,11.53
2019-12-03 08:45:47,9.52
2019-12-03 08:46:46,3.01
2019-12-03 08:47:11,4.76
2019-12-03 08:47:57,3.54
2019-12-03 08:48:06,5.17
2019-12-03 08:53:32,13.97
2019-12-03 08:56:39,16.69
2019-12-03 08:57:39,9.38
2019-12-03 08:57:40,17.94
2019-12-04 08:09:55,12.51
2019-12-04 08:10:25,4.27
2019-12-04 08:11:24,14.42
2019-12-04 08:28:35,3.18
2019-12-04 08:29:06,10.62
2019-12-04 09:29:55,6.44
2019-12-04 09:30:25,1.55
2019-12-04 09:30:54,2.84
2019-12-04 09:31:24,6.95
2019-12-04 09:31:54,14.48
2019-12-04 09:32:00,6.33
2019-12-04 09:32:29,5.25
2019-12-04 09:32:59,9.25
2019-12-04 09:33:29,9.25
2019-12-04 09:33:59,3.86
2019-12-04 09:37:46,2.72
2019-12-04 09:40:05,8.43
2019-12-04 10:14:56,5.97
2019-12-04 10:15:31,1.46
2019-12-04 10:25:57,5.08
2019-12-04 10:26:17,14.3
2019-12-04 10:33:16,1.47
2019-12-04 10:45:14,9.62
2019-12-04 10:45:42,12.41
2019-12-04 10:53:13,15.88
2019-12-04 10:53:44,9.59
2019-12-04 10:54:13,6.33
2019-12-04 10:57:08,13.05
2019-12-04 10:57:38,13.24
2019-12-05 08:03:55,9.17927
2019-12-05 08:08:01,12.419
2019-12-05 08:15:22,4.82
2019-12-05 08:33:57,14.09
2019-12-05 08:34:28,12.57
2019-12-05 08:53:36,7.57
2019-12-05 08:54:11,10.91
2019-12-05 09:33:50,1.94
2019-12-05 09:41:05,15.39
2019-12-05 09:42:34,9.5
2019-12-05 09:51:06,7.2
2019-12-05 09:51:36,11.02
2019-12-05 09:52:15,9.68
2019-12-05 09:52:36,9.39
2019-12-05 09:58:32,9.72
2019-12-05 09:59:01,13.08
2019-12-05 10:12:46,11.25
2019-12-05 10:15:26,9.03
2019-12-05 10:15:56,9.69
2019-12-05 10:21:58,13.62
2019-12-05 10:24:51,6.32
2019-12-05 10:27:52,2.35
2019-12-05 10:39:43,2.02
2019-12-05 10:40:47,7.38
2019-12-05 10:41:12,6.45
2019-12-05 10:43:55,5.38
2019-12-05 10:44:37,2.41
2019-12-05 10:45:25,7.97
2019-12-05 10:49:17,1.91
2019-12-05 10:55:28,9.26
2019-12-05 10:55:58,3.6
2019-12-05 10:56:28,15.36
2019-12-05 10:56:43,7.45
2019-12-05 10:56:57,10.81
2019-12-05 10:57:27,1.57
2019-12-05 10:57:44,10.89
2019-12-06 08:01:20,15.84
2019-12-06 08:01:50,7.45
2019-12-06 08:02:19,12.5
2019-12-06 08:24:29,11.58
2019-12-06 08:24:59,2.95
2019-12-06 08:29:27,15.71
2019-12-06 08:29:57,2.95
2019-12-06 08:30:27,5.23
2019-12-06 08:30:57,17.09
2019-12-06 08:31:47,10.05
2019-12-06 08:36:15,8.26
2019-12-06 08:36:44,3.39
2019-12-06 08:37:14,12.35
2019-12-06 09:43:14,8.96
2019-12-06 09:43:44,5.06
2019-12-06 10:05:52,5.19
2019-12-06 10:06:22,2.64
2019-12-06 10:07:21,6.43
2019-12-06 10:09:32,13.13
2019-12-06 10:09:50,15.78
2019-12-06 10:10:02,7.07
2019-12-06 10:10:20,1.1
2019-12-06 10:10:33,18.67
2019-12-06 10:11:31,21.34
2019-12-06 10:11:32,2.13
2019-12-06 10:11:55,5.81
2019-12-06 10:12:10,6.35
2019-12-06 10:51:54,4.05
2019-12-06 10:52:53,15.37
2019-12-07 09:58:28,6.3
2019-12-07 10:34:48,10.71
2019-12-08 08:32:16,7.58
2019-12-08 08:37:56,11.1
2019-12-08 08:39:55,15.77
2019-12-08 09:03:35,1.99
2019-12-08 09:15:10,14.92
2019-12-08 09:16:39,6.82
2019-12-08 09:38:34,9.17927
2019-12-08 09:54:15,13.83
2019-12-08 10:52:21,5.39957
2019-12-08 10:52:51,6.47948
2019-12-08 10:53:21,3.23974
2019-12-08 10:54:21,2.69978
2019-12-09 08:01:08,6.99
2019-12-09 08:01:37,2.61
2019-12-09 08:02:07,8.02
2019-12-09 08:02:37,5.98
2019-12-09 08:03:07,5.55
2019-12-09 08:03:38,3.04
2019-12-09 08:04:07,6.63
2019-12-09 08:22:06,6.32
2019-12-09 08:25:06,6.71
2019-12-09 08:26:34,1.12
2019-12-09 08:28:33,5.47
2019-12-09 08:29:03,7.52
