datetime,speed
2019-12-01 11:08:53,18.54
2019-12-01 11:09:23,11.65
2019-12-01 11:09:53,9.59
2019-12-01 11:11:19,12.98
2019-12-01 11:11:49,7.44
2019-12-01 11:14:31,10.44
2019-12-01 11:16:30,1.0
2019-12-01 11:17:36,3.65
2019-12-01 11:24:56,2.02
2019-12-01 11:25:26,11.64
2019-12-01 11:37:22,6.72
2019-12-01 11:51:45,1.91
2019-12-01 11:56:28,16.92
2019-12-01 11:56:58,8.01
2019-12-01 11:57:27,12.69
2019-12-01 11:57:57,17.62
2019-12-01 11:58:29,7.72
2019-12-01 11:59:26,16.83
2019-12-01 12:10:25,12.2
2019-12-01 12:10:26,4.51
2019-12-01 12:23:32,11.04
2019-12-01 13:26:07,12.09
2019-12-01 13:26:35,6.41
2019-12-02 11:01:00,13.92
2019-12-02 11:01:35,5.68
2019-12-02 11:02:05,10.2
2019-12-02 11:02:30,1.2
2019-12-02 11:02:34,10.87
2019-12-02 11:03:04,13.52
2019-12-02 11:03:29,13.71
2019-12-02 11:03:34,5.98
2019-12-02 11:03:59,7.1
2019-12-02 11:04:04,12.99
2019-12-02 11:04:29,5.66
2019-12-02 11:04:34,15.51
2019-12-02 11:05:29,3.7
2019-12-02 11:05:59,2.99
2019-12-02 11:06:28,12.33
2019-12-02 11:06:58,6.47
2019-12-02 11:11:26,13.63
2019-12-02 11:16:44,18.11
2019-12-02 11:18:13,4.98
2019-12-02 11:23:41,1.22
2019-12-02 11:24:25,12.76
2019-12-02 11:24:40,2.94
2019-12-02 11:24:49,1.29
2019-12-02 11:25:10,7.24
2019-12-02 11:25:40,7.72
2019-12-02 11:25:49,2.1
2019-12-02 11:26:10,7.99
2019-12-02 11:26:19,2.18
2019-12-02 11:26:40,12.04
2019-12-02 11:26:49,3.69
2019-12-02 11:27:10,14.08
2019-12-02 11:27:18,1.92
2019-12-02 11:27:39,5.63
2019-12-02 11:28:09,10.24
2019-12-02 11:28:47,12.82
2019-12-02 11:29:17,1.7
2019-12-02 11:29:47,5.62
2019-12-02 11:30:17,2.78
2019-12-02 11:30:47,4.17
2019-12-02 11:31:46,3.8
2019-12-02 11:32:05,9.54
2019-12-02 11:36:23,1.65
2019-12-02 11:37:32,12.52
2019-12-02 11:38:02,16.68
2019-12-02 11:43:01,11.0
2019-12-02 11:43:31,1.82
2019-12-02 11:44:01,2.45
2019-12-02 11:44:30,1.51
2019-12-02 11:45:00,6.14
2019-12-02 11:46:00,1.43
2019-12-02 11:46:46,8.06
2019-12-02 11:46:59,1.42
2019-12-02 11:48:29,1.81
2019-12-02 11:50:57,5.95
2019-12-02 11:51:27,10.38
2019-12-02 11:51:58,8.4
2019-12-02 11:53:28,7.16
2019-12-02 12:39:26,15.54
2019-12-02 12:44:25,12.38
2019-12-02 12:44:55,10.68
2019-12-02 12:50:59,9.95
2019-12-02 12:51:30,3.64
2019-12-02 12:52:29,2.78
2019-12-02 12:53:28,5.27
2019-12-02 12:53:58,5.71
2019-12-02 12:54:28,7.46
2019-12-02 12:55:27,1.94
2019-12-02 12:55:57,5.01
2019-12-02 12:56:27,5.35
2019-12-02 12:56:57,13.43
2019-12-02 12:57:27,10.6
2019-12-02 13:03:33,14.6
2019-12-02 13:04:02,9.32
2019-12-02 13:05:02,2.28
2019-12-02 13:29:05,10.57
2019-12-02 13:29:36,15.27
2019-12-02 13:31:34,7.32
2019-12-02 13:32:03,8.67
2019-12-02 13:33:03,11.29
2019-12-02 14:00:16,1.81
2019-12-02 14:00:44,6.71
2019-12-02 14:01:13,8.81
2019-12-02 14:03:17,1.81
2019-12-02 14:29:00,19.6
2019-12-02 14:29:21,28.67
2019-12-02 14:31:01,16.17
2019-12-02 15:02:37,24.8
2019-12-02 15:03:07,18.87
2019-12-03 13:01:36,10.99
2019-12-03 13:01:51,3.81
2019-12-03 13:01:51,8.19
2019-12-03 13:01:51,2.54
2019-12-03 13:01:51,5.2
2019-12-03 13:01:52,11.76
2019-12-03 13:01:52,7.97
2019-12-03 13:01:52,7.54
2019-12-03 13:01:52,7.87
2019-12-03 13:02:17,10.18
2019-12-03 13:02:32,14.22
2019-12-03 13:02:32,3.44
2019-12-03 13:02:32,3.14
2019-12-03 13:02:34,5.45
2019-12-03 13:02:51,5.92
2019-12-03 13:02:51,6.15
2019-12-03 13:02:57,12.42
2019-12-03 13:02:59,13.26
2019-12-03 13:02:59,16.76
2019-12-03 13:03:25,10.21
2019-12-03 13:03:26,7.58
2019-12-03 13:04:00,11.78
2019-12-03 13:04:22,10.83
2019-12-03 13:04:22,12.25
2019-12-03 13:36:21,8.41
2019-12-03 13:36:31,6.31
2019-12-03 13:36:55,15.07
2019-12-03 15:31:41,21.81
2019-12-03 15:32:15,20.67
2019-12-03 15:32:40,15.19
2019-12-03 15:33:10,14.66
2019-12-03 15:42:48,11.28
2019-12-04 11:00:11,23.16
2019-12-04 11:00:40,9.75
2019-12-04 11:02:10,27.48
2019-12-04 11:02:41,8.68
2019-12-04 11:03:34,2.42
2019-12-04 11:04:04,17.47
2019-12-04 11:07:02,12.06
2019-12-04 11:07:32,19.45
2019-12-04 11:08:32,5.47
2019-12-04 11:09:45,8.2
2019-12-04 11:10:00,1.66
2019-12-04 11:10:14,6.59
2019-12-04 11:10:44,10.59
2019-12-04 11:11:15,4.45
2019-12-04 11:11:44,14.56
2019-12-04 11:12:14,2.52
2019-12-04 11:12:16,11.0
2019-12-04 11:12:43,3.43
2019-12-04 11:12:46,13.31
2019-12-04 11:13:43,2.24
2019-12-04 11:14:13,1.02
2019-12-04 11:14:43,2.6
2019-12-04 11:15:15,1.54
2019-12-04 11:15:45,2.99
2019-12-04 11:16:15,1.72
2019-12-04 11:16:44,12.04
2019-12-04 11:17:14,3.07
2019-12-04 11:17:44,7.21
2019-12-04 11:18:14,13.01
2019-12-04 11:18:44,1.12
2019-12-04 11:20:43,3.0
2019-12-04 11:21:12,1.91
2019-12-04 11:22:42,1.13
2019-12-04 11:24:13,2.73
2019-12-04 11:24:41,2.65
2019-12-04 11:24:43,4.75
2019-12-04 11:34:19,13.88
2019-12-04 11:34:48,10.1
2019-12-04 11:40:47,9.04
2019-12-04 11:41:47,13.74
2019-12-04 11:42:17,11.8
2019-12-04 11:47:05,4.76
2019-12-04 12:02:55,16.55
2019-12-04 12:12:12,7.2
2019-12-04 12:12:41,9.59
2019-12-04 12:14:13,11.29
2019-12-04 12:14:33,8.76
2019-12-04 12:14:43,10.58
2019-12-04 12:14:59,6.52
2019-12-04 12:15:10,3.04
2019-12-04 12:15:17,3.61
2019-12-04 12:15:27,6.99
2019-12-04 12:15:57,11.32
2019-12-04 12:16:12,9.21
2019-12-04 12:16:28,5.51
2019-12-04 12:16:39,2.74
2019-12-04 12:16:56,7.6
2019-12-04 12:17:27,10.33
2019-12-04 12:17:56,4.96
2019-12-04 12:18:26,4.4
2019-12-04 12:18:55,3.36
2019-12-04 12:19:27,2.43
2019-12-04 12:21:51,12.52
2019-12-04 12:22:21,4.47
2019-12-04 12:22:51,3.31
2019-12-04 12:45:10,13.27
2019-12-04 12:45:45,11.3
2019-12-04 13:32:24,13.1
2019-12-04 13:32:55,6.21
2019-12-04 13:33:24,15.47
2019-12-04 13:33:55,15.19
2019-12-04 13:45:42,14.55
2019-12-04 13:46:12,7.61
2019-12-04 14:14:19,15.15
2019-12-04 14:14:48,11.11
2019-12-04 14:31:27,20.36
2019-12-04 14:31:56,21.91
2019-12-04 14:32:26,20.46
2019-12-04 14:32:56,10.51
2019-12-04 14:33:26,17.02
2019-12-04 14:42:21,5.09
2019-12-04 14:46:50,17.01
2019-12-04 14:47:20,20.3
2019-12-04 14:47:53,18.51
2019-12-04 14:48:19,18.27
2019-12-04 15:05:40,11.16
2019-12-04 15:06:10,10.26
2019-12-04 15:07:09,15.74
2019-12-04 15:07:39,16.12
2019-12-04 15:08:09,15.03
2019-12-04 15:08:39,16.42
2019-12-04 15:30:57,18.11
2019-12-04 15:31:27,15.43
2019-12-04 15:32:09,11.01
2019-12-04 15:32:26,16.56
2019-12-04 15:32:56,6.94
2019-12-05 11:00:17,5.11
2019-12-05 11:00:48,10.29
2019-12-05 11:04:16,14.86
2019-12-05 11:13:31,19.56
2019-12-05 11:15:59,8.0
2019-12-05 11:16:29,5.17
2019-12-05 11:16:59,9.09
2019-12-05 11:17:29,6.62
2019-12-05 11:17:59,1.89
2019-12-05 11:18:28,2.44
2019-12-05 11:18:58,3.06
2019-12-05 11:19:28,9.3
2019-12-05 11:19:58,5.5
2019-12-05 11:20:27,12.14
2019-12-05 11:20:57,4.11
2019-12-05 11:25:16,5.81
2019-12-05 11:25:27,10.39
2019-12-05 11:26:26,9.32
2019-12-05 11:26:56,9.07
2019-12-05 11:27:26,13.4
2019-12-05 11:28:25,2.08
2019-12-05 11:28:55,4.0
2019-12-05 11:29:25,9.41
2019-12-05 11:29:55,3.63
2019-12-05 11:32:17,19.28
2019-12-05 11:32:47,12.52
2019-12-05 11:52:56,4.88
2019-12-05 11:58:05,18.37
2019-12-05 12:01:03,7.13
2019-12-05 12:01:33,6.53
2019-12-05 12:02:34,16.8
2019-12-05 12:03:03,2.8
2019-12-05 12:12:58,1.86
2019-12-05 12:13:28,4.38
2019-12-05 12:24:35,15.4
2019-12-05 12:25:34,9.12
2019-12-05 12:41:31,13.73
2019-12-05 12:52:04,13.8
2019-12-05 13:25:10,14.16
2019-12-05 13:45:13,1.55
2019-12-05 13:58:54,7.22
2019-12-05 13:59:24,23.6
2019-12-05 14:33:49,12.09
2019-12-05 14:34:18,9.98
2019-12-05 14:34:48,2.24
2019-12-05 15:36:10,19.69
2019-12-05 15:37:09,10.26
2019-12-05 15:37:39,9.31
2019-12-05 15:38:09,20.31
2019-12-06 11:01:49,17.78
2019-12-06 11:09:11,19.51
2019-12-06 11:09:16,7.46
2019-12-06 11:09:18,19.51
2019-12-06 11:10:02,2.18
2019-12-06 11:10:15,4.99
2019-12-06 11:10:31,6.47
2019-12-06 11:11:10,1.81
2019-12-06 11:11:31,4.82
2019-12-06 11:12:01,14.56
2019-12-06 11:12:30,1.61
2019-12-06 11:14:07,19.51
2019-12-06 11:14:17,19.51
2019-12-06 11:14:36,15.08
2019-12-06 11:15:13,8.23
2019-12-06 11:17:05,11.96
2019-12-06 11:17:35,9.32
2019-12-06 11:18:05,3.28
2019-12-06 11:19:04,2.11
2019-12-06 11:19:34,13.13
2019-12-06 11:20:04,9.23
2019-12-06 11:20:34,5.62
2019-12-06 11:20:58,19.51
2019-12-06 11:21:09,19.51
2019-12-06 11:21:28,19.51
2019-12-06 11:21:49,19.51
2019-12-06 11:22:03,1.13
2019-12-06 11:22:26,14.02
2019-12-06 11:25:38,9.23
2019-12-06 11:26:17,10.2
2019-12-06 11:26:30,5.46
2019-12-06 11:27:00,11.74
2019-12-06 11:27:30,6.99
2019-12-06 11:29:28,1.22
2019-12-06 11:31:35,3.04
2019-12-06 11:32:27,5.64
2019-12-06 11:32:34,6.82
2019-12-06 11:32:57,9.08
2019-12-06 11:33:04,9.14
2019-12-06 11:33:27,8.08
2019-12-06 11:33:34,9.84
2019-12-06 11:33:57,2.04
2019-12-06 11:34:04,7.76
2019-12-06 11:34:27,12.13
2019-12-06 11:34:56,12.57
2019-12-06 11:38:04,4.32
2019-12-06 11:38:33,6.18
2019-12-06 11:39:03,11.62
2019-12-06 11:39:33,1.34
2019-12-06 11:40:03,3.54
2019-12-06 12:01:17,11.39
2019-12-06 12:01:48,1.41
2019-12-06 12:16:03,6.99
2019-12-06 12:16:33,3.4
2019-12-06 12:17:03,11.65
2019-12-06 13:25:34,15.08
2019-12-06 13:25:47,21.15
2019-12-06 13:26:19,1.53
2019-12-06 13:26:46,21.27
2019-12-06 13:27:16,14.18
2019-12-06 13:30:13,22.35
2019-12-06 13:30:41,14.39
2019-12-06 13:31:13,20.09
2019-12-06 13:31:39,18.89
2019-12-06 13:39:33,15.51
2019-12-06 13:40:21,16.17
2019-12-06 13:41:00,19.92
2019-12-06 14:50:54,18.4
2019-12-06 14:51:25,17.58
2019-12-06 14:51:53,12.11
2019-12-06 14:52:23,14.51
2019-12-06 15:31:41,16.36
2019-12-06 15:32:00,22.02
2019-12-06 15:32:19,19.26
2019-12-06 15:32:40,19.58
2019-12-06 15:32:58,14.17
2019-12-06 15:36:51,11.17
2019-12-06 15:37:11,16.58
2019-12-06 15:37:30,20.05
