datetime,speed
2019-12-01 16:00:01,17.43
2019-12-01 16:00:28,17.78
2019-12-01 16:00:57,12.82
2019-12-01 16:01:27,21.59
2019-12-01 16:01:59,12.06
2019-12-02 16:28:22,24.54
2019-12-02 16:28:51,18.31
2019-12-02 16:29:21,22.18
2019-12-02 16:29:52,18.17
2019-12-03 16:25:39,15.67
2019-12-03 16:26:09,20.4
2019-12-03 16:26:42,19.35
2019-12-03 16:27:08,12.36
2019-12-04 16:24:26,12.83
2019-12-04 16:24:56,21.83
2019-12-04 16:25:26,10.93
2019-12-04 16:25:56,25.11
2019-12-04 16:48:31,17.96
2019-12-04 16:48:59,18.98
2019-12-04 16:49:26,15.72
2019-12-04 16:49:55,11.83
2019-12-04 16:50:55,19.93
2019-12-05 16:24:55,32.27
2019-12-05 16:25:24,11.21
2019-12-05 16:25:54,20.06
2019-12-05 16:26:49,17.73
2019-12-05 16:27:49,18.66
2019-12-05 16:28:18,17.3
2019-12-06 16:28:13,15.9
2019-12-06 16:28:43,19.34
2019-12-06 16:29:13,21.22
2019-12-06 16:29:43,22.18
2019-12-08 16:07:47,15.78
2019-12-08 16:08:17,20.26
2019-12-08 16:08:48,20.79
2019-12-08 16:09:18,19.55
2019-12-09 16:26:19,19.69
2019-12-09 16:26:48,18.44
2019-12-09 16:27:18,18.01
2019-12-09 16:27:48,14.31
2019-12-10 16:25:15,20.26
2019-12-10 16:25:44,17.75
2019-12-10 16:26:14,8.11
2019-12-10 16:26:44,20.36
2019-12-10 16:27:19,13.19
2019-12-11 16:24:03,22.41
2019-12-11 16:24:30,17.56
2019-12-11 16:26:05,18.15
2019-12-11 16:27:04,20.98
2019-12-11 16:27:35,17.11
2019-12-11 16:55:15,25.37
2019-12-11 16:55:45,18.96
2019-12-11 16:56:16,20.86
2019-12-11 16:57:14,19.31
2019-12-12 16:26:29,15.89
2019-12-12 16:27:42,16.32
2019-12-12 16:27:59,16.68
2019-12-12 16:28:28,8.67
2019-12-13 16:24:39,18.92
2019-12-13 16:25:12,18.09
2019-12-13 16:25:39,20.23
2019-12-13 16:26:09,12.54
2019-12-13 16:27:40,16.09
2019-12-13 16:28:09,13.08
2019-12-13 16:28:39,16.52
2019-12-13 16:29:09,10.3
2019-12-13 16:29:39,17.13
2019-12-13 16:30:08,17.01
2019-12-14 17:04:39,2.32
2019-12-16 16:11:53,23.3
2019-12-16 16:12:22,18.17
2019-12-16 16:12:52,18.71
2019-12-16 16:29:29,16.62
2019-12-16 16:30:29,20.55
2019-12-16 16:30:58,18.81
2019-12-17 16:01:14,16.94
2019-12-17 16:01:44,15.07
2019-12-17 16:02:14,18.29
2019-12-17 16:02:44,14.81
2019-12-17 16:27:37,17.98
2019-12-17 16:28:07,17.66
2019-12-17 16:28:36,17.96
2019-12-17 16:29:07,16.2
2019-12-18 16:14:42,1.62
2019-12-18 16:17:41,17.06
2019-12-18 16:18:16,11.27
2019-12-18 16:20:36,15.17
2019-12-18 16:21:16,24.72
2019-12-18 16:24:36,19.29
2019-12-18 16:25:35,27.2
2019-12-18 16:25:54,19.51
2019-12-18 16:26:24,20.09
2019-12-18 16:26:53,21.27
2019-12-18 16:27:24,17.89
2019-12-19 16:23:33,13.59
2019-12-19 16:24:04,21.75
2019-12-19 16:27:01,16.94
2019-12-19 16:28:01,14.63
2019-12-19 16:28:31,21.55
2019-12-19 16:29:02,6.29
2019-12-20 16:11:02,28.08
2019-12-20 16:11:31,12.68
2019-12-20 16:12:04,22.4
2019-12-20 16:12:32,18.84
2019-12-20 16:13:08,22.66
2019-12-20 16:13:31,19.19
2019-12-20 16:14:03,13.97
2019-12-20 16:14:32,20.55
2019-12-20 16:27:00,19.21
2019-12-20 16:27:30,16.26
2019-12-20 16:28:01,21.64
2019-12-20 16:28:36,12.29
2019-12-20 16:29:29,23.87
2019-12-20 16:29:55,24.89
2019-12-20 16:30:25,15.58
2019-12-20 16:30:54,21.43
2019-12-20 16:43:29,22.5
2019-12-20 16:44:04,17.75
2019-12-20 16:44:29,19.89
2019-12-20 16:44:59,16.74
2019-12-20 16:45:29,19.57
2019-12-20 17:13:48,10.55
2019-12-20 17:14:48,8.58
2019-12-20 17:15:37,26.84
2019-12-20 17:16:06,12.98
2019-12-20 17:16:36,21.3
2019-12-20 17:17:06,7.77
2019-12-20 17:17:36,18.59
2019-12-23 16:04:44,7.82
2019-12-23 16:05:13,21.23
2019-12-23 16:05:42,13.43
2019-12-23 16:06:27,20.01
2019-12-23 16:06:42,6.79
2019-12-23 16:28:17,5.91
2019-12-23 16:28:47,24.42
2019-12-23 16:29:18,17.54
2019-12-23 16:29:50,16.25
2019-12-24 16:27:06,14.44
2019-12-24 16:28:20,19.97
2019-12-24 16:28:35,17.78
2019-12-24 16:29:34,19.47
2019-12-24 16:30:04,14.46
2019-12-25 16:25:52,18.34
2019-12-25 16:26:52,17.09
2019-12-25 16:27:22,14.63
2019-12-26 16:25:45,15.79
2019-12-26 16:26:45,2.19
2019-12-26 16:27:14,17.45
2019-12-26 16:27:34,19.93
2019-12-26 16:27:45,24.54
2019-12-26 16:28:12,23.74
2019-12-27 16:00:59,12.45
2019-12-27 16:01:24,16.02
2019-12-27 16:01:54,17.5
2019-12-27 16:33:31,21.23
2019-12-27 16:34:01,26.03
2019-12-27 16:34:30,26.38
2019-12-27 17:15:14,20.71
2019-12-27 17:15:44,26.74
2019-12-27 17:16:14,18.62
2019-12-27 17:16:43,20.72
2019-12-27 17:24:08,6.53
2019-12-27 17:24:38,19.11
2019-12-27 17:25:10,20.98
2019-12-27 17:25:38,15.6
