datetime,speed
2019-12-01 07:51:58,11.49
2019-12-01 07:52:33,11.54
2019-12-01 07:59:26,11.25
2019-12-02 06:48:43,6.72
2019-12-02 06:48:50,2.51
2019-12-02 06:48:50,7.0
2019-12-02 06:48:51,3.53
2019-12-02 06:49:00,3.29
2019-12-02 06:49:29,9.91
2019-12-02 06:50:29,3.89
2019-12-02 07:03:16,15.24
2019-12-02 07:03:54,1.71
2019-12-02 07:05:15,3.18
2019-12-02 07:06:15,2.17
2019-12-02 07:07:15,6.98
2019-12-02 07:07:44,6.98
2019-12-02 07:22:52,11.54
2019-12-02 07:23:22,12.34
2019-12-02 07:23:52,5.86
2019-12-02 07:25:43,6.98
2019-12-02 07:25:43,6.98
2019-12-02 07:25:44,6.98
2019-12-02 07:25:44,6.98
2019-12-02 07:25:44,6.98
2019-12-02 07:25:45,6.98
2019-12-02 07:25:45,6.98
2019-12-02 07:25:46,6.98
2019-12-02 07:25:46,6.98
2019-12-02 07:26:23,6.98
2019-12-02 07:27:21,2.11
2019-12-02 07:27:40,6.98
2019-12-02 07:27:41,6.98
2019-12-02 07:27:42,6.98
2019-12-02 07:27:43,6.98
2019-12-02 07:27:44,6.98
2019-12-02 07:27:45,6.98
2019-12-02 07:27:46,6.98
2019-12-02 07:27:47,6.98
2019-12-02 07:27:48,6.98
2019-12-02 07:27:49,6.98
2019-12-02 07:27:50,3.1
2019-12-02 07:27:50,6.98
2019-12-02 07:27:51,6.98
2019-12-02 07:27:52,6.98
2019-12-02 07:27:53,6.98
2019-12-02 07:27:56,6.98
2019-12-02 07:27:57,6.98
2019-12-02 07:27:57,6.98
2019-12-02 07:27:57,6.98
2019-12-02 07:28:06,6.98
2019-12-02 07:28:20,2.95
2019-12-02 07:28:35,6.98
2019-12-02 07:28:50,6.89
2019-12-02 07:29:20,13.13
2019-12-02 07:29:49,18.73
2019-12-02 07:35:37,10.48
2019-12-02 07:35:56,13.11
2019-12-02 07:36:16,10.94
2019-12-02 07:36:37,12.11
2019-12-02 07:37:15,13.28
2019-12-02 07:37:53,14.2
2019-12-02 07:38:23,15.4
2019-12-02 07:38:31,6.55
2019-12-02 07:38:50,9.43
2019-12-02 07:39:10,13.75
2019-12-02 07:39:14,10.03
2019-12-02 07:39:29,12.15
2019-12-02 07:39:44,10.36
2019-12-02 07:39:49,1.67
2019-12-02 07:40:09,14.24
2019-12-02 07:40:13,6.99
2019-12-02 07:40:43,6.84
2019-12-02 07:41:13,10.47
2019-12-02 07:41:43,10.58
2019-12-02 07:42:13,8.66
2019-12-02 07:49:05,11.69
2019-12-02 07:49:46,12.85
2019-12-02 07:50:23,9.02
2019-12-02 07:51:03,7.94
2019-12-02 07:51:03,6.82
2019-12-02 07:51:20,8.82
2019-12-02 07:52:18,2.76
2019-12-02 07:52:37,6.51
2019-12-03 06:01:46,10.5
2019-12-03 06:02:16,6.74
2019-12-03 06:03:19,8.5
2019-12-03 06:05:57,15.09
2019-12-03 06:06:29,10.87
2019-12-03 06:06:57,7.15
2019-12-03 06:07:26,3.95
2019-12-03 06:07:56,17.29
2019-12-03 06:14:31,13.74
2019-12-03 06:15:19,2.6
2019-12-03 06:19:50,5.17
2019-12-03 06:35:50,13.15
2019-12-03 06:36:37,5.33
2019-12-03 06:37:12,12.65
2019-12-03 06:37:42,6.37
2019-12-03 06:38:42,5.14
2019-12-03 06:39:11,4.64
2019-12-03 06:41:18,9.26
2019-12-03 06:41:57,18.01
2019-12-03 06:42:16,11.8
2019-12-03 06:43:09,10.63
2019-12-03 06:43:10,2.72
2019-12-03 06:44:30,11.13
2019-12-03 06:44:50,21.83
2019-12-03 06:45:09,14.41
2019-12-03 06:45:28,16.57
2019-12-03 06:48:47,15.0
2019-12-03 06:49:18,14.51
2019-12-03 06:49:47,12.5
2019-12-03 06:50:12,12.82
2019-12-03 06:53:05,13.76
2019-12-03 06:53:39,10.07
2019-12-03 06:54:35,13.33
2019-12-03 07:06:18,1.79
2019-12-03 07:06:48,12.53
2019-12-03 07:07:24,13.47
2019-12-03 07:21:54,13.32
2019-12-03 07:22:23,6.99
2019-12-03 07:23:15,8.83
2019-12-03 07:23:21,4.72
2019-12-03 07:23:50,3.15
2019-12-03 07:24:20,13.54
2019-12-03 07:24:50,17.96
2019-12-03 07:26:21,12.33
2019-12-03 07:26:40,10.36
2019-12-03 07:26:59,11.58
2019-12-03 07:27:39,10.93
2019-12-03 07:28:36,5.6
2019-12-03 07:28:37,14.3
2019-12-03 07:28:37,9.71
2019-12-03 07:28:56,12.14
2019-12-03 07:29:15,3.52
2019-12-03 07:29:35,6.44
2019-12-03 07:29:55,12.07
2019-12-03 07:39:23,14.55
2019-12-03 07:52:56,16.19
2019-12-03 07:53:26,3.86
2019-12-03 07:57:16,4.35
2019-12-04 06:13:14,10.69
2019-12-04 06:13:43,12.49
2019-12-04 06:16:42,6.31
2019-12-04 06:17:15,15.82
2019-12-04 06:17:42,9.18
2019-12-04 06:18:12,13.16
2019-12-04 06:28:12,15.28
2019-12-04 06:29:10,10.73
2019-12-04 06:31:12,7.08
2019-12-04 06:31:39,6.85
2019-12-04 06:31:53,1.74
2019-12-04 06:38:33,5.34
2019-12-04 06:39:03,9.89
2019-12-04 06:47:27,12.13
2019-12-04 06:49:33,16.89
2019-12-04 06:50:03,3.37
2019-12-04 06:50:33,15.29
2019-12-04 06:51:03,19.35
2019-12-04 07:03:07,8.98
2019-12-04 07:03:36,14.82
2019-12-04 07:04:06,13.89
2019-12-04 07:04:35,4.51
2019-12-04 07:11:23,12.87
2019-12-04 07:28:58,11.25
2019-12-04 07:29:17,10.02
2019-12-04 07:29:36,9.43
2019-12-04 07:29:55,3.63
2019-12-04 07:30:53,5.02
2019-12-04 07:34:46,7.01
2019-12-04 07:35:06,3.88
2019-12-04 07:35:25,9.9
2019-12-04 07:35:44,2.26
2019-12-04 07:36:04,2.01
2019-12-04 07:36:23,6.08
2019-12-04 07:36:43,8.03
2019-12-04 07:37:02,9.83
2019-12-04 07:37:23,3.71
2019-12-04 07:37:41,11.14
2019-12-04 07:39:37,10.07
2019-12-05 06:14:12,9.1
2019-12-05 06:33:55,15.47
2019-12-05 06:40:04,9.02
2019-12-05 06:40:40,8.91
2019-12-05 07:31:04,10.36
2019-12-05 07:31:05,11.95
2019-12-05 07:31:09,14.23
2019-12-05 07:33:28,12.91
2019-12-05 07:33:47,3.29
2019-12-05 07:34:06,10.74
2019-12-05 07:34:28,14.29
2019-12-05 07:34:48,8.93
2019-12-05 07:35:04,3.37
2019-12-05 07:35:24,3.53
2019-12-05 07:35:43,10.49
2019-12-05 07:36:04,1.38
2019-12-05 07:36:22,3.62
2019-12-05 07:37:47,16.41
2019-12-05 07:38:08,10.01
2019-12-05 07:38:38,1.9
2019-12-05 07:39:08,9.58
2019-12-05 07:44:05,7.62
2019-12-05 07:44:35,12.33
2019-12-05 07:45:05,19.89
2019-12-05 07:45:35,9.17
2019-12-05 07:46:25,14.32
2019-12-05 07:50:45,10.02
2019-12-05 07:51:15,11.07
2019-12-05 07:53:14,6.63
2019-12-05 07:53:46,3.28
2019-12-05 07:54:14,6.74
2019-12-05 07:54:43,8.82
2019-12-05 07:55:49,2.19
2019-12-05 07:56:13,13.35
2019-12-05 07:56:43,17.73
2019-12-06 06:28:15,11.64
2019-12-06 06:28:45,11.53
2019-12-06 06:29:15,10.67
2019-12-06 06:45:27,1.36
2019-12-06 07:37:56,11.79
2019-12-06 07:38:08,11.52
2019-12-06 07:38:50,5.49
2019-12-06 07:40:38,12.33
2019-12-06 07:43:19,6.69
2019-12-06 07:44:12,5.76
2019-12-06 07:44:14,17.37
2019-12-06 07:44:32,12.84
2019-12-06 07:44:52,17.36
2019-12-06 07:45:12,12.05
2019-12-06 07:45:31,8.57
2019-12-06 07:55:17,18.15
2019-12-06 07:55:36,21.47
2019-12-06 07:55:56,20.42
2019-12-07 06:07:41,17.66
2019-12-07 07:16:09,19.28
2019-12-07 07:16:39,14.72
2019-12-07 07:17:08,11.62
2019-12-07 07:17:38,13.32
2019-12-07 07:18:08,21.52
2019-12-07 07:18:38,20.33
2019-12-08 06:19:05,15.47
2019-12-08 06:19:36,12.76
2019-12-08 06:19:57,7.46
2019-12-08 06:22:27,6.37
2019-12-08 06:23:01,13.74
2019-12-08 06:23:53,7.21
2019-12-08 06:24:23,8.37
2019-12-08 06:24:52,4.84
2019-12-08 06:50:11,16.62
2019-12-08 06:50:41,8.7
2019-12-08 07:09:40,13.42
2019-12-08 07:10:09,8.47
2019-12-08 07:10:40,1.9
2019-12-08 07:11:39,2.39
2019-12-08 07:13:40,6.06
2019-12-08 07:14:08,13.78
2019-12-08 07:14:37,4.75
2019-12-08 07:15:07,8.14
2019-12-08 07:15:37,2.53
2019-12-08 07:16:11,13.83
2019-12-08 07:16:41,15.61
2019-12-08 07:27:02,10.91
2019-12-08 07:27:32,11.55
2019-12-08 07:28:02,5.08
2019-12-08 07:30:01,3.84
2019-12-08 07:30:31,6.3
2019-12-08 07:31:00,8.84
2019-12-08 07:31:26,16.72
2019-12-08 07:31:58,13.24
2019-12-08 07:32:00,6.79
2019-12-08 07:32:30,13.68
2019-12-08 07:32:33,4.41
2019-12-08 07:35:22,10.9
2019-12-08 07:35:52,10.73
2019-12-08 07:36:23,12.26
2019-12-08 07:36:52,4.19
2019-12-08 07:37:51,16.33
2019-12-09 06:32:57,15.65
2019-12-09 06:33:17,11.43
2019-12-09 06:40:51,5.68
2019-12-09 07:15:19,5.19
2019-12-09 07:15:49,12.0
2019-12-09 07:16:18,10.52
2019-12-09 07:16:49,14.39
2019-12-09 07:17:18,15.83
2019-12-09 07:23:54,8.28
2019-12-09 07:24:06,8.31
2019-12-09 07:24:23,2.03
2019-12-09 07:24:53,1.74
2019-12-09 07:35:25,12.24
2019-12-09 07:52:21,12.92
2019-12-09 07:52:50,10.8
2019-12-09 07:53:50,1.67
2019-12-09 07:58:48,4.1
2019-12-09 07:59:18,12.72
2019-12-09 07:59:48,7.7
2019-12-10 06:04:39,5.93
2019-12-10 06:13:56,11.06
2019-12-10 06:14:26,17.58
2019-12-10 06:15:01,2.25
2019-12-10 06:15:25,5.9
2019-12-10 06:15:55,12.28
2019-12-10 06:16:25,13.92
2019-12-10 06:16:58,11.31
2019-12-10 06:17:24,16.78
2019-12-10 06:19:46,15.82
2019-12-10 06:20:17,5.6
2019-12-10 06:20:42,12.88
2019-12-10 06:27:58,2.5
2019-12-10 06:31:32,3.59
2019-12-10 06:41:22,10.46
2019-12-10 06:41:53,12.09
2019-12-10 06:57:51,20.71
2019-12-10 06:58:20,6.23
2019-12-10 06:58:50,14.83
2019-12-10 06:59:19,19.58
2019-12-10 07:04:29,2.15
2019-12-10 07:04:56,13.96
2019-12-10 07:18:41,14.46
2019-12-10 07:18:45,8.86
2019-12-10 07:19:12,11.56
2019-12-10 07:58:25,16.09
2019-12-10 07:58:54,14.51
2019-12-11 06:39:54,12.34
2019-12-11 06:40:22,3.05
2019-12-11 06:41:22,7.11
2019-12-11 06:41:52,16.89
2019-12-11 06:42:21,6.45
2019-12-11 06:42:51,14.4
2019-12-11 06:50:28,15.08
2019-12-11 06:50:29,2.81
2019-12-11 06:50:36,1.07
2019-12-11 06:52:36,4.75
2019-12-11 06:53:05,15.52
2019-12-11 06:53:33,7.69
2019-12-11 06:53:35,11.32
2019-12-11 06:54:04,7.09
2019-12-11 06:54:05,14.7
2019-12-11 06:54:35,13.18
2019-12-11 07:25:03,7.02
2019-12-11 07:25:33,12.52
2019-12-11 07:26:12,18.47
2019-12-11 07:30:31,4.26
2019-12-11 07:31:03,11.92
2019-12-11 07:32:19,19.07
2019-12-11 07:32:50,12.37
2019-12-11 07:33:18,14.98
2019-12-11 07:33:48,15.45
2019-12-11 07:35:17,5.18
2019-12-12 06:06:12,8.61
2019-12-12 06:09:40,14.83
2019-12-12 06:17:22,15.32
2019-12-12 06:17:54,4.38
2019-12-12 06:18:21,8.68
2019-12-12 06:18:52,20.25
2019-12-12 06:29:55,10.12
2019-12-12 06:33:54,13.63
2019-12-12 06:34:24,15.24
2019-12-12 06:34:53,6.39
2019-12-12 06:37:22,3.38
2019-12-12 06:37:52,7.9
2019-12-12 06:38:22,8.26
2019-12-12 06:38:52,8.77
2019-12-12 06:39:17,18.28
2019-12-12 06:39:19,2.18
2019-12-12 06:39:21,11.76
2019-12-12 06:39:51,11.66
2019-12-12 06:40:21,12.45
2019-12-12 06:52:53,11.7
2019-12-12 06:53:18,8.96
2019-12-12 06:54:47,15.21
2019-12-12 06:54:54,19.35
2019-12-12 06:55:24,13.22
2019-12-12 06:56:20,4.04
2019-12-12 07:05:47,15.75
2019-12-12 07:06:16,15.24
2019-12-12 07:06:46,11.5
2019-12-12 07:07:16,20.54
2019-12-12 07:15:46,10.03
2019-12-12 07:16:16,3.48
2019-12-12 07:16:55,11.86
2019-12-12 07:20:16,10.78
2019-12-12 07:20:46,13.94
2019-12-12 07:21:47,5.42
2019-12-12 07:22:15,2.36
2019-12-12 07:22:45,13.71
2019-12-12 07:23:15,13.08
2019-12-12 07:23:45,11.39
2019-12-12 07:41:59,8.4
2019-12-12 07:51:25,15.18
2019-12-12 07:51:55,11.79
2019-12-12 07:56:37,8.05
2019-12-13 06:07:37,9.46
2019-12-13 06:10:27,7.03
2019-12-13 06:10:56,11.19
2019-12-13 06:11:26,14.67
2019-12-13 06:11:56,15.16
2019-12-13 06:12:14,12.34
2019-12-13 06:12:40,12.1
2019-12-13 06:13:10,4.57
2019-12-13 06:14:03,17.76
2019-12-13 06:15:02,9.92
2019-12-13 06:15:32,1.32
2019-12-13 06:16:02,11.37
2019-12-13 06:16:32,12.75
2019-12-13 06:17:02,2.4
2019-12-13 06:17:31,15.22
2019-12-13 06:18:01,19.06
2019-12-13 06:26:21,1.68
2019-12-13 06:33:12,4.92
2019-12-13 06:52:55,11.34
2019-12-13 06:53:28,5.61
2019-12-13 06:55:58,11.91
2019-12-13 06:56:27,11.11
2019-12-13 06:56:58,5.76
2019-12-13 07:07:56,13.73
2019-12-13 07:08:28,19.57
2019-12-13 07:09:55,13.91
2019-12-13 07:12:33,7.04
2019-12-13 07:14:30,7.73
2019-12-13 07:14:32,16.48
2019-12-13 07:17:22,20.27
2019-12-13 07:17:51,8.16
2019-12-13 07:18:21,4.65
2019-12-13 07:18:51,15.72
2019-12-13 07:43:51,6.86
2019-12-13 07:44:18,8.44
