datetime,speed
2019-12-01 08:34:23,17.39
2019-12-01 10:04:55,15.05
2019-12-01 10:05:18,15.63
2019-12-01 10:06:17,9.54
2019-12-01 10:06:47,6.29
2019-12-01 10:06:50,8.45
2019-12-01 10:07:17,11.07
2019-12-01 10:07:20,5.79
2019-12-01 10:07:47,14.79
2019-12-01 10:08:17,12.15
2019-12-01 10:26:37,15.33
2019-12-01 10:27:35,9.34
2019-12-01 10:28:05,3.57
2019-12-01 10:28:35,6.53
2019-12-01 10:29:05,7.52
2019-12-01 10:29:35,14.97
2019-12-01 10:30:04,13.43
2019-12-01 10:57:19,13.31
2019-12-02 08:10:31,8.51
2019-12-02 08:10:35,4.89
2019-12-02 08:11:01,12.56
2019-12-02 08:12:30,7.37
2019-12-02 08:12:59,2.63
2019-12-02 08:13:29,13.0
2019-12-02 08:14:29,5.91
2019-12-02 08:14:59,14.26
2019-12-02 08:15:54,10.79
2019-12-02 08:16:24,7.96
2019-12-02 08:19:28,1.87
2019-12-02 08:19:47,1.5
2019-12-02 08:35:23,13.24
2019-12-02 08:35:50,13.7
2019-12-02 08:36:19,12.74
2019-12-02 08:36:54,14.2
2019-12-02 08:37:19,4.87
2019-12-02 09:04:01,2.01
2019-12-02 09:04:19,14.72
2019-12-02 09:04:46,2.34
2019-12-02 09:05:25,19.01
2019-12-02 09:05:40,11.49
2019-12-02 09:06:40,4.16
2019-12-02 09:06:45,8.92
2019-12-02 09:06:55,7.56
2019-12-02 09:07:10,10.19
2019-12-02 09:07:15,11.07
2019-12-02 09:07:36,13.32
2019-12-02 09:07:39,11.37
2019-12-02 09:07:45,11.29
2019-12-02 09:07:54,9.92
2019-12-02 09:08:09,7.77
2019-12-02 09:08:15,2.18
2019-12-02 09:08:24,3.93
2019-12-02 09:08:39,2.6
2019-12-02 09:08:45,4.67
2019-12-02 09:08:53,6.43
2019-12-02 09:10:05,13.35
2019-12-02 09:10:19,12.02
2019-12-02 09:10:35,1.28
2019-12-02 09:10:48,13.2
2019-12-02 09:11:04,1.62
2019-12-02 09:11:18,14.01
2019-12-02 09:12:18,6.91
2019-12-02 09:16:16,17.04
