datetime,speed
2019-12-01 11:00:06,13.99
2019-12-01 11:19:09,5.07
2019-12-01 11:34:03,5.77
2019-12-01 11:34:23,4.14
2019-12-01 11:34:32,3.17
2019-12-01 11:38:31,13.05
2019-12-01 11:39:30,13.13
2019-12-01 11:40:00,11.5
2019-12-01 11:40:30,3.26
2019-12-01 11:42:49,9.56
2019-12-01 12:10:30,7.27
2019-12-01 12:10:32,14.75
2019-12-01 12:25:31,16.78
2019-12-01 12:26:01,9.62
2019-12-01 12:26:31,16.75
2019-12-02 11:13:25,11.55
2019-12-02 11:13:55,14.32
2019-12-02 11:14:25,12.15
2019-12-02 11:14:55,9.7
2019-12-02 11:15:24,4.85
2019-12-02 11:15:55,3.4
2019-12-02 11:18:23,3.16
2019-12-02 11:18:53,4.83
2019-12-02 11:34:34,11.93
2019-12-02 11:34:53,10.54
2019-12-02 11:35:15,5.07
2019-12-02 11:35:22,3.26
2019-12-02 11:35:51,8.82
2019-12-02 11:36:21,20.76
2019-12-02 11:40:02,9.33
2019-12-02 11:40:32,11.95
2019-12-02 11:41:02,11.15
2019-12-02 11:41:32,7.04
2019-12-02 11:42:02,1.82
2019-12-02 11:42:48,2.47
2019-12-02 11:55:48,1.99
2019-12-02 11:55:56,1.25
2019-12-02 11:56:25,13.85
2019-12-02 11:56:55,18.13
2019-12-02 12:11:03,12.67
2019-12-02 12:11:31,2.35
2019-12-02 12:12:01,1.85
2019-12-02 12:12:31,1.27
2019-12-02 12:14:00,1.24
2019-12-02 12:41:55,15.22
2019-12-02 12:42:24,13.1
2019-12-02 12:42:54,11.27
2019-12-02 12:47:24,7.61
2019-12-02 12:47:54,12.52
2019-12-02 13:16:37,10.51
2019-12-02 13:35:03,2.07
2019-12-02 13:35:32,2.06
2019-12-02 13:55:12,11.9
2019-12-02 13:55:13,15.64
2019-12-02 13:55:14,13.18
2019-12-02 13:55:15,11.48
2019-12-02 14:05:16,10.94
2019-12-03 13:00:52,12.17
2019-12-03 13:00:52,15.8
2019-12-03 13:02:29,7.57
2019-12-03 13:03:04,11.38
2019-12-03 13:03:10,7.73
2019-12-03 13:03:10,4.09
2019-12-03 13:06:56,10.19
2019-12-03 13:18:20,11.86
2019-12-03 13:18:50,3.74
2019-12-03 13:19:49,15.5
2019-12-03 13:20:19,10.05
2019-12-03 13:20:49,3.49
2019-12-03 13:21:18,9.57
2019-12-03 13:21:48,10.37
2019-12-03 13:22:18,7.44
2019-12-03 13:30:21,8.69
2019-12-03 15:35:39,5.8
2019-12-04 11:01:05,10.28
2019-12-04 11:04:09,3.29
2019-12-04 11:04:44,3.36
2019-12-04 11:04:45,4.02
2019-12-04 11:05:14,13.06
2019-12-04 11:05:44,11.24
2019-12-04 11:06:14,2.89
2019-12-04 11:10:31,8.41
2019-12-04 11:11:01,6.32
2019-12-04 11:11:31,5.43
2019-12-04 11:12:01,5.45
