datetime,speed
2019-12-01 16:03:56,12.33
2019-12-02 16:31:20,19.14
2019-12-02 16:31:50,12.86
2019-12-03 16:28:38,17.14
2019-12-03 16:29:07,12.93
2019-12-04 16:27:55,9.88
2019-12-04 16:28:25,13.91
2019-12-06 16:31:42,14.28
2019-12-06 17:53:02,27.32
2019-12-06 17:53:32,26.48
2019-12-06 17:54:02,22.63
2019-12-08 16:10:46,24.56
2019-12-09 16:29:18,11.72
2019-12-10 16:28:43,1.43
2019-12-10 16:29:13,18.55
2019-12-11 16:09:32,14.41
2019-12-11 16:10:02,18.62
2019-12-11 16:29:33,18.7
2019-12-12 16:30:27,18.66
2019-12-13 16:28:08,18.01
2019-12-13 16:31:05,11.58
2019-12-13 16:31:35,18.08
2019-12-13 16:32:05,19.25
2019-12-13 16:32:35,19.42
2019-12-13 16:33:04,13.46
2019-12-14 17:05:39,22.5
2019-12-16 16:01:17,14.65
2019-12-16 16:02:17,17.16
2019-12-16 16:02:46,7.94
2019-12-16 16:09:22,21.51
2019-12-16 16:09:51,19.72
2019-12-16 16:10:20,22.65
2019-12-16 16:32:28,9.08
2019-12-17 16:04:13,22.05
2019-12-17 16:04:43,11.52
2019-12-17 16:31:05,12.97
2019-12-18 16:19:10,21.95
2019-12-18 16:19:40,5.94
2019-12-18 16:28:54,5.04
2019-12-18 16:29:22,16.83
2019-12-19 16:02:09,5.28
2019-12-19 16:02:39,15.62
2019-12-19 16:25:02,7.45
2019-12-19 16:25:32,14.98
2019-12-19 16:30:30,7.9
2019-12-19 17:05:17,32.16
2019-12-19 17:05:47,24.49
2019-12-19 17:06:16,23.78
2019-12-19 17:06:46,7.45
2019-12-20 16:30:11,18.84
2019-12-20 16:30:26,18.95
2019-12-20 16:45:31,3.03
2019-12-23 16:08:41,14.82
2019-12-23 16:09:11,12.68
2019-12-24 16:30:34,15.57
2019-12-25 16:00:51,13.86
2019-12-25 16:01:21,14.73
2019-12-25 16:29:21,13.1
2019-12-26 16:29:14,23.15
2019-12-30 16:05:27,23.58
2019-12-30 16:05:57,18.46
2019-12-30 16:06:27,19.79
2019-12-30 16:17:23,21.92
2019-12-30 16:29:48,17.98
2019-12-31 16:21:48,16.26
2019-12-31 16:30:40,6.79
