datetime,speed
2019-12-01 07:41:31,15.1
2019-12-01 07:41:39,6.88
2019-12-01 07:42:09,9.97
2019-12-01 07:42:31,14.66
2019-12-01 07:42:39,18.65
2019-12-01 07:43:00,16.76
2019-12-01 07:43:08,19.38
2019-12-01 07:43:38,3.12
2019-12-01 07:51:14,14.98
2019-12-01 07:51:44,9.32
2019-12-02 07:40:57,9.32
2019-12-02 07:41:26,10.29
2019-12-02 07:42:24,14.4
2019-12-02 07:42:26,16.27
2019-12-02 07:42:56,12.39
2019-12-02 07:43:25,4.91
2019-12-03 06:05:56,1.22
2019-12-03 06:09:54,8.97
2019-12-03 06:25:53,2.13
2019-12-03 06:33:44,13.68
2019-12-03 06:34:14,4.79
2019-12-03 06:42:40,1.96
2019-12-03 06:43:17,11.5
2019-12-03 06:43:47,16.69
2019-12-03 06:44:17,7.19
2019-12-03 06:46:47,16.22
2019-12-03 06:47:05,17.03
2019-12-03 07:04:06,4.36
2019-12-03 07:24:22,24.81
2019-12-03 07:24:52,7.64
2019-12-03 07:25:22,18.67
2019-12-03 07:25:51,5.8
2019-12-03 07:27:21,3.02
2019-12-03 07:32:29,4.64
2019-12-03 07:32:46,11.29
2019-12-03 07:32:49,11.29
2019-12-03 07:33:15,3.62
2019-12-03 07:33:45,5.05
2019-12-03 07:34:15,8.77
2019-12-03 07:34:45,11.93
2019-12-03 07:35:14,14.88
2019-12-04 06:20:41,15.15
2019-12-04 06:30:26,4.58
2019-12-04 06:49:56,17.09
2019-12-04 06:50:26,14.13
2019-12-04 07:10:49,10.66
2019-12-04 07:11:49,16.42
2019-12-04 07:12:18,10.28
2019-12-04 07:12:48,4.76
2019-12-04 07:13:18,10.22
2019-12-04 07:13:48,3.09
2019-12-04 07:24:02,9.79
2019-12-04 07:39:38,10.19
2019-12-04 07:39:57,6.27
2019-12-04 07:42:52,1.16
2019-12-04 07:48:41,8.46
2019-12-04 07:49:11,7.16
2019-12-04 07:50:10,12.84
2019-12-04 07:50:41,11.59
2019-12-04 07:51:10,14.44
2019-12-04 07:58:43,12.06
2019-12-04 07:59:42,4.55
2019-12-05 06:37:06,3.7
2019-12-05 06:41:51,11.9
2019-12-05 06:42:21,14.33
2019-12-05 06:42:51,7.85
2019-12-05 06:43:21,1.51
2019-12-05 06:58:31,17.23
2019-12-05 06:59:10,16.35
2019-12-05 06:59:29,16.17
2019-12-05 06:59:48,11.93
2019-12-05 07:00:09,17.31
2019-12-05 07:00:51,1.09
2019-12-05 07:00:51,17.24
2019-12-05 07:01:07,2.81
2019-12-05 07:32:24,13.43
2019-12-05 07:32:54,10.16
2019-12-05 07:33:24,7.33
2019-12-05 07:33:54,13.08
2019-12-05 07:34:23,6.19
2019-12-05 07:34:54,3.0
2019-12-05 07:38:38,14.41
2019-12-06 06:08:16,2.51
2019-12-06 06:21:12,8.87
2019-12-06 06:21:41,1.26
2019-12-06 06:22:40,10.06
2019-12-06 06:23:09,14.93
2019-12-06 06:23:39,12.0
2019-12-06 06:24:09,8.62
2019-12-06 06:24:40,11.55
2019-12-06 06:25:38,2.24
2019-12-06 07:18:16,11.39
2019-12-06 07:18:46,9.81
2019-12-06 07:19:46,9.28
2019-12-06 07:20:16,11.11
2019-12-06 07:20:45,10.31
2019-12-06 07:31:24,8.99
2019-12-06 07:32:24,12.51
2019-12-06 07:32:53,12.84
2019-12-06 07:36:22,3.06
2019-12-06 07:45:48,8.12
2019-12-06 07:48:05,12.75
2019-12-06 07:48:31,18.05
2019-12-07 06:09:10,4.39
2019-12-07 06:09:40,14.62
2019-12-08 06:33:38,8.79
2019-12-08 06:34:38,19.91
2019-12-08 06:35:07,12.59
2019-12-08 06:35:24,7.64
2019-12-08 06:35:44,16.96
2019-12-08 06:35:54,8.96
2019-12-08 06:36:24,13.69
2019-12-08 06:36:54,13.18
2019-12-08 06:37:24,8.82
2019-12-08 06:37:53,8.12
2019-12-08 06:38:23,12.44
2019-12-08 07:17:36,2.55
2019-12-08 07:20:55,14.06
2019-12-08 07:21:24,4.45
2019-12-08 07:30:29,13.53
2019-12-08 07:31:29,13.25
2019-12-08 07:31:59,14.12
2019-12-08 07:32:29,3.63
2019-12-08 07:39:32,13.84
2019-12-08 07:40:31,17.82
2019-12-08 07:41:01,12.76
2019-12-08 07:41:31,7.4
2019-12-08 07:42:39,5.63
2019-12-08 07:54:25,3.41
2019-12-08 07:54:55,2.44
2019-12-09 06:28:25,11.11
2019-12-09 06:28:35,15.15
2019-12-09 06:29:35,2.33
2019-12-09 06:49:51,6.48
2019-12-09 06:50:21,12.79
2019-12-09 06:50:51,14.03
2019-12-09 07:06:23,6.78
2019-12-09 07:16:23,8.26
2019-12-09 07:16:52,3.2
2019-12-09 07:28:47,6.98
2019-12-09 07:29:47,1.43
2019-12-09 07:30:16,3.47
2019-12-09 07:36:13,4.49
2019-12-09 07:36:42,6.14
2019-12-09 07:37:42,2.7
2019-12-09 07:38:42,14.42
2019-12-09 07:39:11,12.38
2019-12-09 07:39:41,1.88
2019-12-09 07:44:37,11.46
2019-12-10 06:06:09,4.26
2019-12-10 06:06:39,15.55
2019-12-10 06:07:09,3.17
2019-12-10 06:29:03,7.68
2019-12-10 06:29:57,13.29
2019-12-10 07:52:54,11.49
2019-12-10 07:55:22,11.76
2019-12-11 06:19:27,11.28
2019-12-11 06:34:45,11.7
2019-12-11 06:35:43,13.96
2019-12-11 06:36:13,9.31
2019-12-11 06:36:42,2.87
2019-12-11 06:37:12,6.2
2019-12-11 06:37:44,10.31
2019-12-11 06:38:12,1.65
2019-12-11 06:44:33,13.1
2019-12-11 06:44:50,2.33
2019-12-11 06:45:20,1.45
2019-12-11 06:56:02,7.57
2019-12-11 07:22:34,14.17
2019-12-11 07:43:13,12.43
2019-12-12 07:28:08,17.51
2019-12-12 07:29:36,14.03
2019-12-12 07:58:36,13.53
2019-12-12 07:59:48,7.28
2019-12-13 06:33:43,18.95
2019-12-13 06:34:13,21.07
2019-12-13 06:34:42,6.33
2019-12-13 06:35:12,10.89
2019-12-13 06:40:43,2.95
2019-12-13 06:42:13,18.79
2019-12-13 06:42:43,5.22
2019-12-13 06:43:13,12.8
2019-12-13 06:43:42,14.32
2019-12-13 06:44:12,1.43
2019-12-13 06:47:48,8.78
2019-12-13 06:48:48,11.18
2019-12-13 06:49:18,9.42
2019-12-13 06:49:48,13.31
2019-12-13 06:50:17,2.62
2019-12-13 06:52:46,1.17
2019-12-13 06:55:45,1.11
2019-12-13 06:55:54,14.38
2019-12-13 06:56:24,11.94
2019-12-13 06:56:54,1.35
2019-12-13 06:57:24,5.49
2019-12-13 06:59:14,1.94
2019-12-13 06:59:43,2.98
2019-12-13 07:23:13,12.92
2019-12-13 07:25:12,14.38
2019-12-13 07:25:42,10.53
2019-12-13 07:28:56,10.48
2019-12-13 07:29:26,11.09
2019-12-13 07:29:56,12.72
2019-12-13 07:38:22,4.66
2019-12-13 07:44:15,8.58
2019-12-13 07:44:44,5.99
2019-12-13 07:49:57,18.87
2019-12-13 07:50:13,14.36
2019-12-14 06:00:54,14.21
2019-12-14 06:01:24,13.62
2019-12-14 06:01:53,14.26
2019-12-14 06:02:23,12.12
2019-12-14 06:02:53,5.64
2019-12-14 06:56:00,16.35
2019-12-14 06:56:29,3.2
2019-12-14 06:56:59,10.95
2019-12-14 06:57:28,13.13
2019-12-14 06:57:59,16.55
2019-12-14 06:58:58,11.93
2019-12-14 07:27:59,14.49
2019-12-14 07:28:59,12.75
2019-12-14 07:29:29,12.4
2019-12-15 06:15:22,9.39
2019-12-15 06:15:52,5.77
2019-12-15 06:18:06,3.87
2019-12-15 06:18:15,3.87
2019-12-15 06:18:34,3.87
2019-12-15 06:20:19,3.96
2019-12-15 06:22:19,17.66
2019-12-15 06:22:49,4.14
2019-12-15 06:27:13,15.32
2019-12-15 06:30:28,3.87
2019-12-15 06:35:13,8.04
2019-12-15 06:35:27,1.94
2019-12-15 06:35:50,16.4
2019-12-15 06:36:06,10.45
2019-12-15 07:03:06,10.86
2019-12-15 07:04:05,14.16
2019-12-15 07:04:35,4.73
2019-12-15 07:05:05,10.54
2019-12-15 07:05:36,11.27
2019-12-15 07:06:04,6.56
2019-12-15 07:06:34,2.61
2019-12-15 07:07:53,11.97
2019-12-15 07:08:22,12.55
2019-12-15 07:08:54,15.55
2019-12-15 07:09:22,7.33
2019-12-15 07:09:52,6.62
2019-12-15 07:10:24,11.33
2019-12-15 07:10:51,10.03
2019-12-16 06:09:20,11.04
2019-12-16 06:09:42,3.96
2019-12-16 06:20:35,13.68
2019-12-16 06:25:54,8.85
2019-12-16 06:26:49,10.19
2019-12-16 06:27:19,9.93
2019-12-16 06:27:49,16.04
2019-12-16 07:03:34,15.68
2019-12-16 07:05:32,1.13
2019-12-16 07:32:12,16.22
2019-12-16 07:32:49,11.01
2019-12-16 07:33:12,17.76
2019-12-16 07:33:41,12.54
2019-12-17 06:11:28,16.44
2019-12-17 06:11:57,17.49
2019-12-17 06:12:57,3.05
2019-12-17 06:13:31,5.36
2019-12-17 06:13:56,2.63
2019-12-17 07:09:37,16.35
2019-12-17 07:29:39,11.39
2019-12-17 07:30:37,13.5
2019-12-17 07:31:05,12.75
2019-12-17 07:38:05,6.18
2019-12-17 07:51:10,11.44
2019-12-17 07:51:39,13.44
2019-12-17 07:52:09,11.33
2019-12-17 07:52:39,10.32
2019-12-17 07:53:08,9.11
2019-12-17 07:53:38,3.89
2019-12-18 06:12:15,16.71
2019-12-18 06:12:44,10.54
2019-12-18 06:35:00,5.44
2019-12-18 07:27:07,4.48
2019-12-18 07:27:37,12.25
2019-12-18 07:28:08,4.08
2019-12-18 07:29:36,2.8
2019-12-19 06:24:30,6.58
2019-12-19 06:38:28,3.83
2019-12-19 06:53:07,14.13
2019-12-19 06:53:22,8.88
2019-12-19 07:24:58,4.59
2019-12-19 07:25:24,2.71
2019-12-19 07:25:53,5.42
2019-12-19 07:26:52,5.78
2019-12-19 07:27:22,6.74
2019-12-19 07:31:20,9.7
2019-12-19 07:31:50,9.9
2019-12-19 07:32:20,2.18
2019-12-19 07:57:23,4.39
2019-12-20 06:26:36,3.93
2019-12-20 06:26:41,1.07
2019-12-20 06:27:11,13.16
2019-12-20 06:27:41,2.72
2019-12-20 06:30:41,5.46
2019-12-20 06:34:39,10.4
2019-12-20 06:36:08,1.82
2019-12-20 06:37:08,2.32
2019-12-20 07:13:52,14.95
2019-12-20 07:14:17,7.44
2019-12-20 07:16:57,11.85
2019-12-20 07:17:27,5.67
2019-12-20 07:17:57,2.57
2019-12-20 07:21:46,15.8
2019-12-20 07:22:48,12.21
2019-12-20 07:23:17,15.45
2019-12-20 07:25:56,13.5
2019-12-20 07:26:56,10.21
2019-12-20 07:27:26,12.4
2019-12-20 07:27:55,12.52
2019-12-20 07:28:45,3.38
2019-12-20 07:32:41,13.09
2019-12-20 07:33:29,15.77
2019-12-20 07:37:41,2.4
2019-12-20 07:58:33,7.85
2019-12-21 06:34:21,15.1
2019-12-21 06:35:20,14.24
2019-12-21 06:35:50,10.16
2019-12-21 06:36:20,8.44
2019-12-21 06:36:50,12.53
2019-12-21 06:37:20,7.01
2019-12-21 06:50:44,5.36
2019-12-21 07:23:46,3.56
2019-12-21 07:24:48,12.46
2019-12-21 07:26:15,7.85
2019-12-21 07:26:46,10.66
2019-12-21 07:27:14,10.96
2019-12-21 07:34:19,11.69
2019-12-21 07:34:49,11.86
2019-12-21 07:35:19,5.94
2019-12-21 07:42:50,12.09
2019-12-22 06:01:23,13.39
2019-12-22 06:01:53,11.85
2019-12-22 06:02:22,9.74
2019-12-22 06:02:52,7.53
2019-12-22 06:03:22,13.91
2019-12-22 07:32:12,7.62
2019-12-22 07:32:42,12.26
2019-12-22 07:33:41,17.64
2019-12-22 07:34:11,13.38
2019-12-22 07:34:41,8.81
2019-12-22 07:48:01,14.52
2019-12-22 07:48:02,10.94
2019-12-23 06:00:51,4.93
2019-12-23 06:04:04,4.36
2019-12-23 06:04:35,14.51
2019-12-23 06:05:03,13.08
2019-12-23 06:14:53,16.93
2019-12-23 06:15:51,14.79
2019-12-23 06:16:21,12.31
2019-12-23 06:18:52,11.68
2019-12-23 06:19:24,3.74
2019-12-23 06:19:52,13.72
2019-12-23 06:20:21,12.53
2019-12-23 06:20:51,7.42
2019-12-23 06:21:21,7.82
2019-12-23 06:22:04,12.09
2019-12-23 06:22:20,9.68
2019-12-23 06:48:11,12.7
2019-12-23 06:48:41,8.65
2019-12-23 07:12:03,16.4079
2019-12-23 07:12:04,4.35535
2019-12-23 07:12:05,7.58209
2019-12-23 07:12:05,11.9775
2019-12-23 07:12:05,18.8782
2019-12-23 07:12:06,7.01679
2019-12-23 07:12:06,16.3468
2019-12-23 07:12:06,3.5199
2019-12-23 07:12:06,13.8315
2019-12-23 07:32:21,3.59
2019-12-23 07:33:18,10.37
2019-12-23 07:34:18,12.43
2019-12-23 07:52:03,12.13
2019-12-23 07:52:32,9.51
2019-12-23 07:53:02,15.9
2019-12-23 07:54:36,15.29
2019-12-23 07:55:02,6.96
2019-12-23 07:55:32,9.34
2019-12-23 07:56:01,1.02
2019-12-23 07:58:00,3.14
2019-12-24 06:38:54,12.91
2019-12-24 06:39:17,9.92
2019-12-24 06:47:26,3.63
2019-12-24 07:03:14,10.3
2019-12-24 07:03:43,4.47
2019-12-24 07:05:13,1.46
2019-12-24 07:06:12,3.12
2019-12-24 07:18:36,10.58
2019-12-24 07:19:36,9.75
2019-12-24 07:29:05,10.83
2019-12-24 07:29:41,2.27
2019-12-24 07:30:04,11.14
2019-12-24 07:30:34,12.84
2019-12-25 06:30:48,4.36
2019-12-25 06:46:06,20.9
2019-12-25 06:46:36,8.75
2019-12-25 07:16:45,3.98
2019-12-25 07:29:43,9.66
2019-12-25 07:30:13,12.85
2019-12-25 07:30:43,7.0
2019-12-25 07:31:12,11.01
2019-12-25 07:31:42,13.45
2019-12-25 07:32:12,4.2
2019-12-25 07:32:43,12.88
2019-12-25 07:33:13,13.66
2019-12-25 07:33:41,3.88
2019-12-25 07:42:55,1.94
2019-12-25 07:43:55,5.86
2019-12-25 07:44:54,13.9
2019-12-25 07:45:24,13.0
2019-12-25 07:45:54,9.15
2019-12-25 07:46:25,1.72
2019-12-26 07:25:36,5.67
2019-12-26 07:26:00,4.01
2019-12-26 07:26:30,9.74
2019-12-26 07:27:31,6.01
2019-12-26 07:33:27,13.41
2019-12-26 07:33:57,9.04
2019-12-27 06:25:38,12.9
2019-12-27 06:25:59,15.17
2019-12-27 06:30:45,12.35
2019-12-27 06:31:15,6.99
2019-12-27 06:31:45,6.61
2019-12-27 06:32:15,21.79
2019-12-27 06:32:45,12.32
2019-12-27 06:33:14,4.03
2019-12-27 06:33:44,15.21
2019-12-27 06:34:44,1.48
2019-12-27 07:02:55,15.51
2019-12-27 07:03:23,15.79
2019-12-27 07:03:53,10.65
2019-12-27 07:15:18,16.84
2019-12-27 07:31:17,7.01
2019-12-27 07:32:16,10.7
2019-12-27 07:32:46,11.89
2019-12-27 07:33:16,12.61
2019-12-27 07:46:05,7.85
2019-12-27 07:46:35,13.8
2019-12-27 07:47:04,14.73
