datetime,speed
2019-12-01 08:01:25,12.02
2019-12-01 08:01:54,6.48
2019-12-01 09:31:41,14.14
2019-12-01 10:36:25,17.58
2019-12-01 10:36:58,13.72
2019-12-01 10:37:28,18.75
2019-12-01 10:37:58,13.18
2019-12-01 10:38:28,8.14
2019-12-01 10:59:37,9.23
2019-12-02 08:02:24,15.89
2019-12-02 08:03:22,12.51
2019-12-02 08:03:51,13.8
2019-12-02 08:04:21,4.99
2019-12-02 08:04:51,3.37
2019-12-02 08:05:34,8.59
2019-12-02 08:05:50,1.81
2019-12-02 08:12:34,11.27
2019-12-02 08:13:05,3.59
2019-12-02 08:14:03,10.5
2019-12-02 08:14:33,4.87
2019-12-02 08:18:23,16.68
2019-12-02 08:18:53,11.28
2019-12-02 08:19:23,10.33
2019-12-02 08:19:53,16.4
2019-12-02 08:41:29,15.14
2019-12-02 09:06:50,5.72
2019-12-02 09:10:44,6.79
2019-12-02 09:10:54,17.61
2019-12-02 09:11:14,9.34
2019-12-02 09:14:21,2.17
2019-12-02 09:16:04,9.58
2019-12-02 09:16:34,9.57
2019-12-02 09:17:04,14.0
2019-12-02 09:22:02,1.73
2019-12-02 09:30:09,3.59
2019-12-02 09:31:58,9.17
2019-12-02 09:32:37,14.25
2019-12-02 09:32:57,2.55
2019-12-02 09:33:37,7.97
2019-12-02 09:35:30,7.34
2019-12-02 09:36:29,1.18
2019-12-02 09:37:59,3.38
2019-12-02 09:38:29,10.46
2019-12-02 09:38:59,8.22
2019-12-02 09:39:28,1.51
2019-12-02 09:52:05,11.56
2019-12-02 09:52:35,14.2
2019-12-02 09:53:05,4.14
2019-12-02 10:04:23,1.3
2019-12-02 10:04:54,8.27
2019-12-02 10:05:23,1.25
2019-12-02 10:05:52,3.27
2019-12-02 10:28:30,8.22
2019-12-02 10:49:00,6.43
2019-12-02 10:50:00,10.22
2019-12-02 10:51:00,9.49
2019-12-02 10:51:59,2.23
2019-12-03 08:50:23,16.36
2019-12-03 08:50:53,5.17
2019-12-03 09:03:10,11.47
2019-12-03 09:03:40,14.65
2019-12-03 09:08:38,3.91
2019-12-03 09:18:38,12.96
2019-12-03 09:19:08,5.48
2019-12-03 09:19:33,3.99
2019-12-04 08:57:39,15.75
2019-12-04 08:58:39,19.32
2019-12-04 09:01:00,2.1
2019-12-04 09:13:02,1.55
2019-12-04 09:30:01,11.18
2019-12-04 09:30:30,10.11
2019-12-04 09:31:00,5.1
2019-12-04 09:35:37,3.65
2019-12-04 09:36:09,6.98
2019-12-04 09:37:36,11.77
2019-12-04 09:38:36,2.53
2019-12-04 09:39:30,2.27
2019-12-04 09:39:59,10.95
