datetime,speed
2019-12-01 11:12:17,15.83
2019-12-01 11:17:55,12.57
2019-12-01 11:32:40,12.01
2019-12-01 11:33:09,16.19
2019-12-02 11:31:23,12.63
2019-12-02 11:54:25,17.07
2019-12-02 12:42:39,19.95
2019-12-02 12:58:56,21.1
2019-12-03 13:07:55,11.88
2019-12-03 13:08:24,14.52
2019-12-03 13:08:55,15.87
2019-12-04 11:14:15,22.97
2019-12-04 12:13:07,4.89
2019-12-04 12:14:36,2.84
2019-12-04 12:41:23,15.22
2019-12-04 12:41:53,13.59
2019-12-04 13:06:42,15.22
2019-12-04 13:07:11,12.63
2019-12-05 11:21:26,8.41
2019-12-05 11:41:00,8.06
2019-12-05 11:41:29,12.34
2019-12-05 11:56:28,14.84
2019-12-05 12:23:29,19.29
2019-12-06 11:22:15,8.47
2019-12-07 11:16:41,12.959
2019-12-07 11:17:11,15.1188
2019-12-07 15:03:29,10.87
2019-12-07 15:03:59,16.16
2019-12-08 11:31:29,14.06
2019-12-08 12:17:19,10.42
2019-12-08 12:17:49,9.32
2019-12-08 12:35:09,16.11
2019-12-08 12:55:05,13.25
2019-12-08 12:55:35,16.76
2019-12-08 13:10:26,20.99
2019-12-08 13:10:57,19.08
2019-12-08 13:37:55,19.48
2019-12-08 13:38:24,19.57
2019-12-09 11:34:38,15.31
2019-12-09 11:35:15,12.26
2019-12-09 11:36:07,6.61
2019-12-09 12:13:32,14.58
2019-12-09 12:46:10,15.49
2019-12-10 12:31:01,20.13
2019-12-11 11:26:28,19.28
2019-12-11 12:10:58,13.63
2019-12-11 12:13:27,4.19
2019-12-11 12:13:58,1.53
2019-12-11 12:14:26,2.85
2019-12-11 12:39:28,10.09
2019-12-11 12:39:58,1.41
2019-12-12 11:24:25,14.18
2019-12-12 12:32:09,16.19
2019-12-12 12:32:39,14.95
2019-12-13 11:42:57,11.47
2019-12-13 11:43:22,2.72
2019-12-13 11:44:22,13.76
2019-12-13 11:45:52,15.84
2019-12-13 13:42:11,11.05
2019-12-13 13:42:40,2.72
2019-12-15 11:06:52,17.5
2019-12-15 12:58:38,19.32
2019-12-16 11:01:56,17.14
2019-12-16 11:43:06,15.44
2019-12-16 12:49:53,13.93
2019-12-16 12:50:25,4.4
2019-12-17 11:13:53,14.37
2019-12-17 12:23:23,14.82
2019-12-17 12:48:08,14.07
2019-12-18 11:19:47,25.75
2019-12-18 12:32:57,17.46
2019-12-18 13:09:35,16.9
2019-12-18 13:45:14,14.93
2019-12-19 11:16:07,11.84
2019-12-19 11:25:34,15.46
2019-12-19 11:26:08,18.84
2019-12-19 11:39:01,15.46
2019-12-19 12:14:41,13.72
2019-12-19 12:26:03,15.26
2019-12-19 12:44:08,3.42
2019-12-20 11:13:29,17.22
2019-12-22 11:50:21,14.59
2019-12-22 11:50:52,14.18
2019-12-22 12:45:02,15.77
2019-12-22 12:45:32,11.04
2019-12-23 11:02:24,14.47
2019-12-23 11:30:34,7.68
2019-12-23 11:45:15,9.8
2019-12-24 11:18:51,11.58
2019-12-24 11:38:16,12.26
2019-12-24 11:38:46,20.6
2019-12-24 11:50:03,13.21
2019-12-24 12:01:27,17.84
2019-12-24 12:24:54,14.24
2019-12-24 12:31:51,19.06
2019-12-24 12:32:21,17.68
2019-12-24 14:05:21,14.57
2019-12-25 11:10:00,15.48
2019-12-25 12:14:11,19.18
2019-12-26 11:06:00,18.98
2019-12-26 11:06:22,17.96
2019-12-26 11:12:23,13.98
2019-12-26 11:24:09,14.12
2019-12-26 12:18:15,15.22
2019-12-26 13:23:45,17.95
2019-12-27 11:08:39,17.03
2019-12-27 11:32:15,18.1
2019-12-27 11:45:20,16.88
2019-12-27 11:45:49,16.81
2019-12-29 11:03:07,22.78
2019-12-29 11:57:53,8.85
2019-12-29 12:35:11,13.53
2019-12-29 12:35:41,7.91
2019-12-30 11:09:24,12.35
2019-12-30 11:39:21,12.03
2019-12-30 11:57:25,13.73
2019-12-30 12:27:35,14.52
2019-12-30 12:28:05,12.17
2019-12-30 13:23:17,1.05
2019-12-30 13:23:48,9.67
2019-12-30 13:24:17,12.22
2019-12-31 11:08:21,13.69
2019-12-31 11:16:45,7.45
2019-12-31 11:30:16,20.71
2019-12-31 11:34:21,14.18
2019-12-31 11:34:46,6.28
2019-12-31 12:07:13,16.86
2019-12-31 12:16:09,19.5
2019-12-31 12:16:39,11.36
2019-12-31 12:17:09,14.37
