datetime,speed
2019-12-01 07:02:36,19.27
2019-12-02 06:17:58,16.75
2019-12-02 06:20:41,22.08
2019-12-02 07:39:23,16.57
2019-12-02 07:39:25,22.59
2019-12-02 07:57:17,20.8
2019-12-03 06:08:56,18.38
2019-12-03 06:49:38,17.59
2019-12-03 07:53:11,8.63
2019-12-04 06:22:40,20.18
2019-12-04 06:26:08,9.32
2019-12-05 07:19:44,17.98
2019-12-06 06:12:39,16.39
2019-12-06 06:34:25,17.84
2019-12-06 06:46:27,14.84
2019-12-06 06:46:57,17.66
2019-12-06 07:17:28,20.82
2019-12-07 07:44:08,13.5
2019-12-08 07:56:00,21.35
2019-12-09 07:14:22,10.67
2019-12-09 07:49:08,15.69
2019-12-10 06:22:07,17.17
2019-12-11 06:01:34,13.29
2019-12-11 07:42:00,15.44
2019-12-11 07:42:31,14.7
2019-12-13 06:32:13,9.2
2019-12-15 06:25:18,16.13
2019-12-15 06:59:52,17.4
2019-12-15 07:28:34,17.24
2019-12-15 07:58:38,13.57
2019-12-15 07:58:55,16.65
2019-12-16 07:51:46,16.03
2019-12-17 06:12:26,11.04
2019-12-17 06:12:45,20.4
2019-12-17 06:15:16,13.27
2019-12-17 07:00:57,10.1
2019-12-17 07:01:27,8.54
2019-12-17 07:09:59,19.5
2019-12-18 06:21:29,16.08
2019-12-21 07:00:13,12.51
2019-12-21 07:00:38,15.52
2019-12-22 06:18:02,10.42
2019-12-22 06:38:37,13.87
2019-12-22 06:38:54,10.9
2019-12-22 07:54:00,16.55
2019-12-23 06:13:52,23.97
2019-12-23 06:14:38,15.44
2019-12-23 06:15:59,14.24
2019-12-23 06:16:23,18.77
2019-12-24 06:13:24,7.45
2019-12-24 06:32:15,9.12
2019-12-24 07:43:20,16.32
2019-12-25 06:24:08,16.92
2019-12-25 06:24:38,14.95
2019-12-25 06:32:07,13.21
2019-12-26 07:48:56,15.05
2019-12-26 07:57:29,15.46
2019-12-27 06:10:10,12.03
2019-12-29 06:20:01,21.75
2019-12-29 06:39:23,12.44
2019-12-29 06:55:47,18.8
2019-12-29 07:22:07,17.96
2019-12-30 06:22:16,24.32
2019-12-30 07:19:51,19.49
2019-12-30 07:20:21,14.61
2019-12-30 07:40:55,15.42
2019-12-31 06:16:41,17.1
2019-12-31 06:56:20,15.26
2019-12-31 07:28:20,9.74
