datetime,speed
2019-12-01 10:26:31,1.34
2019-12-01 10:27:01,16.65
2019-12-02 08:52:21,24.55
2019-12-02 10:12:07,13.05
2019-12-02 10:12:48,11.46
2019-12-03 08:49:30,8.18
2019-12-03 08:50:01,11.02
2019-12-03 09:16:42,16.47
2019-12-04 08:22:07,7.46
2019-12-04 09:06:48,10.82
2019-12-04 09:32:10,11.51
2019-12-04 09:49:30,15.37
2019-12-04 09:50:00,13.72
2019-12-04 10:12:38,11.84
2019-12-05 10:23:45,11.82
2019-12-06 08:15:42,17.8
2019-12-06 09:06:27,17.74
2019-12-06 09:59:50,7.18
2019-12-06 10:04:07,10.28
2019-12-06 10:34:33,13.81
2019-12-06 10:55:44,17.92
2019-12-06 10:56:13,16.28
2019-12-07 08:21:34,12.419
2019-12-07 08:22:04,13.4989
2019-12-08 10:12:39,16.61
2019-12-08 10:13:19,9.14
2019-12-08 10:30:36,14.32
2019-12-08 10:54:56,8.96
2019-12-09 08:53:21,21.52
2019-12-09 09:01:31,22.0
2019-12-09 09:46:08,19.41
2019-12-10 10:44:12,16.45
2019-12-10 10:44:51,17.94
2019-12-11 08:29:01,16.54
2019-12-11 09:10:35,12.61
2019-12-11 09:11:40,3.84
2019-12-11 09:59:42,19.49
2019-12-11 10:09:54,10.14
2019-12-12 08:42:57,17.06
2019-12-12 08:43:45,28.58
2019-12-13 08:34:11,15.19
2019-12-13 09:58:46,10.88
2019-12-13 10:10:25,14.97
2019-12-13 10:10:52,12.35
2019-12-15 08:15:22,9.18
2019-12-15 08:15:52,16.84
2019-12-15 09:48:44,12.71
2019-12-15 10:19:08,9.1
2019-12-16 09:07:36,9.73
2019-12-16 10:08:38,8.6
2019-12-17 08:00:04,17.24
2019-12-17 09:59:24,16.75
2019-12-17 10:15:26,13.72
2019-12-18 08:00:24,10.55
2019-12-18 08:29:03,16.44
2019-12-18 08:46:46,19.11
2019-12-18 09:01:17,17.81
2019-12-18 09:50:24,19.29
2019-12-18 10:04:34,9.18
2019-12-18 10:27:44,14.87
2019-12-18 10:41:34,17.91
2019-12-18 10:58:30,15.81
2019-12-19 08:16:58,14.45
2019-12-19 09:52:17,9.89
2019-12-19 10:01:09,20.87
2019-12-19 10:14:39,9.08
2019-12-20 08:28:00,16.36
2019-12-20 10:01:22,10.12
2019-12-20 10:58:11,16.1
2019-12-20 10:58:41,10.97
2019-12-22 09:02:21,17.25
2019-12-22 09:53:30,10.19
2019-12-22 09:54:13,19.03
2019-12-22 10:02:15,16.16
2019-12-23 08:27:02,11.54
2019-12-23 08:31:53,15.21
2019-12-23 08:40:51,14.87
2019-12-23 08:43:18,18.04
2019-12-23 08:53:50,13.06
2019-12-23 09:52:54,12.91
2019-12-23 10:02:23,6.11
2019-12-24 09:29:55,19.25
2019-12-24 09:30:25,8.94
2019-12-24 09:50:48,14.98
2019-12-24 09:51:18,13.04
2019-12-24 10:01:58,16.64
2019-12-24 10:34:44,17.4
2019-12-25 08:03:25,14.86
2019-12-25 08:32:33,14.26
2019-12-25 08:58:58,13.14
2019-12-25 09:28:16,12.56
2019-12-25 10:08:14,6.51
2019-12-25 10:09:44,9.52
2019-12-26 08:57:28,11.27
2019-12-27 08:03:55,17.61
2019-12-27 09:56:14,11.47
2019-12-27 09:56:44,4.34
2019-12-27 10:06:05,13.81
2019-12-27 10:06:53,18.88
2019-12-27 10:09:21,14.3
2019-12-27 10:16:14,8.2
2019-12-27 10:16:44,17.85
2019-12-28 08:41:50,5.11
2019-12-28 08:42:20,17.37
2019-12-29 08:09:17,16.87
2019-12-29 08:13:15,3.42
2019-12-29 08:27:38,22.29
2019-12-29 10:06:14,16.92
2019-12-29 10:41:41,13.22
2019-12-30 08:27:38,17.72
2019-12-30 08:28:08,16.08
2019-12-30 08:46:14,2.7
2019-12-30 08:50:42,6.46
2019-12-30 09:02:37,21.17
2019-12-30 09:35:43,16.26
2019-12-30 09:36:13,13.22
2019-12-30 09:38:51,10.53
2019-12-30 09:54:54,20.75
2019-12-30 10:02:05,9.93
2019-12-31 08:26:16,21.44
2019-12-31 08:49:51,13.4
2019-12-31 09:52:33,12.39
